R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
2,0,-360,0,0,1,206,1000
3,0,-360,0,0,1,354,1000
4,0,-360,0,0,1,499,1000
5,0,-360,0,0,1,574,1000
6,0,-360,0,0,1,616,1000
2,0.25,-360,0,0.25,1,147,1000
3,0.25,-360,0,0.25,1,292,1000
4,0.25,-360,0,0.25,1,440,1000
5,0.25,-360,0,0.25,1,516,1000
6,0.25,-360,0,0.25,1,572,1000
2,0.5,-360,0,0.5,1,62,1000
3,0.5,-360,0,0.5,1,205,1000
4,0.5,-360,0,0.5,1,312,1000
5,0.5,-360,0,0.5,1,449,1000
6,0.5,-360,0,0.5,1,500,1000
2,0.75,-360,0,0.75,1,3,1000
3,0.75,-360,0,0.75,1,112,1000
4,0.75,-360,0,0.75,1,192,1000
5,0.75,-360,0,0.75,1,298,1000
6,0.75,-360,0,0.75,1,389,1000
2,1,-360,0,1,1,0,1000
3,1,-360,0,1,1,0,1000
4,1,-360,0,1,1,21,1000
5,1,-360,0,1,1,105,1000
6,1,-360,0,1,1,178,1000
2,0,-330,0,0,1,215,1000
3,0,-330,0,0,1,378,1000
4,0,-330,0,0,1,487,1000
5,0,-330,0,0,1,552,1000
6,0,-330,0,0,1,606,1000
2,0.25,-330,0,0.25,1,152,1000
3,0.25,-330,0,0.25,1,309,1000
4,0.25,-330,0,0.25,1,418,1000
5,0.25,-330,0,0.25,1,498,1000
6,0.25,-330,0,0.25,1,569,1000
2,0.5,-330,0,0.5,1,66,1000
3,0.5,-330,0,0.5,1,207,1000
4,0.5,-330,0,0.5,1,362,1000
5,0.5,-330,0,0.5,1,418,1000
6,0.5,-330,0,0.5,1,516,1000
2,0.75,-330,0,0.75,1,3,1000
3,0.75,-330,0,0.75,1,92,1000
4,0.75,-330,0,0.75,1,187,1000
5,0.75,-330,0,0.75,1,342,1000
6,0.75,-330,0,0.75,1,390,1000
2,1,-330,0,1,1,0,1000
3,1,-330,0,1,1,0,1000
4,1,-330,0,1,1,16,1000
5,1,-330,0,1,1,105,1000
6,1,-330,0,1,1,178,1000
2,0,-300,0,0,1,198,1000
3,0,-300,0,0,1,387,1000
4,0,-300,0,0,1,461,1000
5,0,-300,0,0,1,525,1000
6,0,-300,0,0,1,605,1000
2,0.25,-300,0,0.25,1,153,1000
3,0.25,-300,0,0.25,1,321,1000
4,0.25,-300,0,0.25,1,436,1000
5,0.25,-300,0,0.25,1,483,1000
