R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
6,0,-60,0.6666666666666666,0,22,586,1000
2,0.25,-60,0.6666666666666666,0.25,22,147,1000
3,0.25,-60,0.6666666666666666,0.25,22,313,1000
4,0.25,-60,0.6666666666666666,0.25,22,389,1000
5,0.25,-60,0.6666666666666666,0.25,22,493,1000
6,0.25,-60,0.6666666666666666,0.25,22,566,1000
2,0.5,-60,0.6666666666666666,0.5,22,67,1000
3,0.5,-60,0.6666666666666666,0.5,22,202,1000
4,0.5,-60,0.6666666666666666,0.5,22,333,1000
5,0.5,-60,0.6666666666666666,0.5,22,430,1000
6,0.5,-60,0.6666666666666666,0.5,22,457,1000
2,0.75,-60,0.6666666666666666,0.75,22,2,1000
3,0.75,-60,0.6666666666666666,0.75,22,72,1000
4,0.75,-60,0.6666666666666666,0.75,22,180,1000
5,0.75,-60,0.6666666666666666,0.75,22,263,1000
6,0.75,-60,0.6666666666666666,0.75,22,366,1000
2,1,-60,0.6666666666666666,1,22,0,1000
3,1,-60,0.6666666666666666,1,22,0,1000
4,1,-60,0.6666666666666666,1,22,7,1000
5,1,-60,0.6666666666666666,1,22,34,1000
6,1,-60,0.6666666666666666,1,22,89,1000
2,0,-30,0.6666666666666666,0,22,205,1000
3,0,-30,0.6666666666666666,0,22,374,1000
4,0,-30,0.6666666666666666,0,22,499,1000
5,0,-30,0.6666666666666666,0,22,551,1000
6,0,-30,0.6666666666666666,0,22,632,1000
2,0.25,-30,0.6666666666666666,0.25,22,134,1000
3,0.25,-30,0.6666666666666666,0.25,22,337,1000
4,0.25,-30,0.6666666666666666,0.25,22,412,1000
5,0.25,-30,0.6666666666666666,0.25,22,499,1000
6,0.25,-30,0.6666666666666666,0.25,22,558,1000
2,0.5,-30,0.6666666666666666,0.5,22,54,1000
3,0.5,-30,0.6666666666666666,0.5,22,176,1000
4,0.5,-30,0.6666666666666666,0.5,22,303,1000
5,0.5,-30,0.6666666666666666,0.5,22,404,1000
6,0.5,-30,0.6666666666666666,0.5,22,475,1000
2,0.75,-30,0.6666666666666666,0.75,22,3,1000
3,0.75,-30,0.6666666666666666,0.75,22,71,1000
4,0.75,-30,0.6666666666666666,0.75,22,135,1000
5,0.75,-30,0.6666666666666666,0.75,22,265,1000
6,0.75,-30,0.6666666666666666,0.75,22,314,1000
2,1,-30,0.6666666666666666,1,22,0,1000
3,1,-30,0.6666666666666666,1,22,1,1000
4,1,-30,0.6666666666666666,1,22,3,1000
5,1,-30,0.6666666666666666,1,22,32,1000
6,1,-30,0.6666666666666666,1,22,68,1000
2,0,0,0.6666666666666666,0,22,214,1000
3,0,0,0.6666666666666666,0,22,393,1000
4,0,0,0.6666666666666666,0,22,482,1000
5,0,0,0.6666666666666666,0,22,525,1000
6,0,0,0.6666666666666666,0,22,614,1000
2,0.25,0,0.6666666666666666,0.25,22,152,1000
3,0.25,0,0.6666666666666666,0.25,22,318,1000
4,0.25,0,0.6666666666666666,0.25,22,443,1000
5,0.25,0,0.6666666666666666,0.25,22,489,1000
6,0.25,0,0.6666666666666666,0.25,22,581,1000
