virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,330,0.9583333333333333,93,671,10000
1,360,0.9583333333333333,93,0,10000
2,360,0.9583333333333333,93,689,10000
3,360,0.9583333333333333,93,424,10000
4,360,0.9583333333333333,93,636,10000
1,-360,1,93,1,10000
2,-360,1,93,695,10000
3,-360,1,93,430,10000
4,-360,1,93,598,10000
1,-330,1,93,0,10000
2,-330,1,93,703,10000
3,-330,1,93,395,10000
4,-330,1,93,623,10000
1,-300,1,93,0,10000
2,-300,1,93,680,10000
3,-300,1,93,367,10000
4,-300,1,93,567,10000
1,-270,1,93,0,10000
2,-270,1,93,678,10000
3,-270,1,93,367,10000
4,-270,1,93,639,10000
1,-240,1,93,0,10000
2,-240,1,93,606,10000
3,-240,1,93,373,10000
4,-240,1,93,655,10000
1,-210,1,93,0,10000
