virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,150,0.7083333333333333,69,613,10000
1,180,0.7083333333333333,69,0,10000
2,180,0.7083333333333333,69,659,10000
3,180,0.7083333333333333,69,328,10000
4,180,0.7083333333333333,69,610,10000
1,210,0.7083333333333333,69,0,10000
2,210,0.7083333333333333,69,693,10000
3,210,0.7083333333333333,69,403,10000
4,210,0.7083333333333333,69,600,10000
1,240,0.7083333333333333,69,0,10000
2,240,0.7083333333333333,69,646,10000
3,240,0.7083333333333333,69,377,10000
4,240,0.7083333333333333,69,602,10000
1,270,0.7083333333333333,69,0,10000
2,270,0.7083333333333333,69,704,10000
3,270,0.7083333333333333,69,418,10000
4,270,0.7083333333333333,69,623,10000
1,300,0.7083333333333333,69,0,10000
2,300,0.7083333333333333,69,693,10000
3,300,0.7083333333333333,69,417,10000
4,300,0.7083333333333333,69,592,10000
1,330,0.7083333333333333,69,0,10000
2,330,0.7083333333333333,69,678,10000
3,330,0.7083333333333333,69,384,10000
4,330,0.7083333333333333,69,618,10000
1,360,0.7083333333333333,69,1,10000
