virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,-210,0.75,71,620,10000
1,-180,0.75,71,0,10000
2,-180,0.75,71,637,10000
3,-180,0.75,71,372,10000
4,-180,0.75,71,612,10000
1,-150,0.75,71,0,10000
2,-150,0.75,71,628,10000
3,-150,0.75,71,366,10000
4,-150,0.75,71,540,10000
1,-120,0.75,71,0,10000
2,-120,0.75,71,567,10000
3,-120,0.75,71,324,10000
4,-120,0.75,71,537,10000
1,-90,0.75,71,0,10000
2,-90,0.75,71,535,10000
3,-90,0.75,71,335,10000
4,-90,0.75,71,512,10000
1,-60,0.75,71,1,10000
2,-60,0.75,71,455,10000
3,-60,0.75,71,259,10000
4,-60,0.75,71,471,10000
1,-30,0.75,71,0,10000
2,-30,0.75,71,377,10000
3,-30,0.75,71,186,10000
4,-30,0.75,71,430,10000
1,0,0.75,71,0,10000
