virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,30,0,3,683,10000
3,30,0,3,418,10000
4,30,0,3,610,10000
1,60,0,3,0,10000
2,60,0,3,751,10000
3,60,0,3,427,10000
4,60,0,3,621,10000
1,90,0,3,0,10000
2,90,0,3,692,10000
3,90,0,3,455,10000
4,90,0,3,634,10000
1,120,0,3,0,10000
2,120,0,3,743,10000
3,120,0,3,404,10000
4,120,0,3,613,10000
1,150,0,3,0,10000
2,150,0,3,699,10000
3,150,0,3,442,10000
4,150,0,3,631,10000
1,180,0,3,1,10000
2,180,0,3,663,10000
3,180,0,3,425,10000
4,180,0,3,606,10000
1,210,0,3,0,10000
2,210,0,3,710,10000
3,210,0,3,421,10000
