virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,150,0.9583333333333333,92,559,10000
3,150,0.9583333333333333,92,283,10000
4,150,0.9583333333333333,92,563,10000
1,180,0.9583333333333333,92,0,10000
2,180,0.9583333333333333,92,600,10000
3,180,0.9583333333333333,92,307,10000
4,180,0.9583333333333333,92,624,10000
1,210,0.9583333333333333,92,0,10000
2,210,0.9583333333333333,92,641,10000
3,210,0.9583333333333333,92,374,10000
4,210,0.9583333333333333,92,633,10000
1,240,0.9583333333333333,92,0,10000
2,240,0.9583333333333333,92,695,10000
3,240,0.9583333333333333,92,335,10000
4,240,0.9583333333333333,92,639,10000
1,270,0.9583333333333333,92,0,10000
2,270,0.9583333333333333,92,678,10000
3,270,0.9583333333333333,92,377,10000
4,270,0.9583333333333333,92,619,10000
1,300,0.9583333333333333,92,0,10000
2,300,0.9583333333333333,92,708,10000
3,300,0.9583333333333333,92,370,10000
4,300,0.9583333333333333,92,594,10000
1,330,0.9583333333333333,92,0,10000
2,330,0.9583333333333333,92,669,10000
3,330,0.9583333333333333,92,362,10000
