virus,vaccine_timing,vaccine_coverage,group,emergences,trials
1,-270,0.375,36,1,10000
2,-270,0.375,36,696,10000
3,-270,0.375,36,411,10000
4,-270,0.375,36,643,10000
1,-240,0.375,36,0,10000
2,-240,0.375,36,686,10000
3,-240,0.375,36,454,10000
4,-240,0.375,36,628,10000
1,-210,0.375,36,0,10000
2,-210,0.375,36,661,10000
3,-210,0.375,36,415,10000
4,-210,0.375,36,617,10000
1,-180,0.375,36,0,10000
2,-180,0.375,36,648,10000
3,-180,0.375,36,414,10000
4,-180,0.375,36,653,10000
1,-150,0.375,36,1,10000
2,-150,0.375,36,648,10000
3,-150,0.375,36,430,10000
4,-150,0.375,36,593,10000
1,-120,0.375,36,0,10000
2,-120,0.375,36,648,10000
3,-120,0.375,36,398,10000
4,-120,0.375,36,617,10000
1,-90,0.375,36,0,10000
2,-90,0.375,36,644,10000
