virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,-60,0.16666666666666666,18,672,10000
1,-30,0.16666666666666666,18,1,10000
2,-30,0.16666666666666666,18,656,10000
3,-30,0.16666666666666666,18,411,10000
4,-30,0.16666666666666666,18,603,10000
1,0,0.16666666666666666,18,0,10000
2,0,0.16666666666666666,18,627,10000
3,0,0.16666666666666666,18,388,10000
4,0,0.16666666666666666,18,609,10000
1,30,0.16666666666666666,18,0,10000
2,30,0.16666666666666666,18,624,10000
3,30,0.16666666666666666,18,443,10000
4,30,0.16666666666666666,18,648,10000
1,60,0.16666666666666666,18,0,10000
2,60,0.16666666666666666,18,642,10000
3,60,0.16666666666666666,18,436,10000
4,60,0.16666666666666666,18,596,10000
1,90,0.16666666666666666,18,0,10000
2,90,0.16666666666666666,18,665,10000
3,90,0.16666666666666666,18,424,10000
4,90,0.16666666666666666,18,585,10000
1,120,0.16666666666666666,18,0,10000
2,120,0.16666666666666666,18,701,10000
3,120,0.16666666666666666,18,416,10000
4,120,0.16666666666666666,18,613,10000
1,150,0.16666666666666666,18,1,10000
