virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,-30,0.20833333333333331,22,59,1000
1,0,0.20833333333333331,22,0,1000
2,0,0.20833333333333331,22,58,1000
3,0,0.20833333333333331,22,28,1000
4,0,0.20833333333333331,22,54,1000
1,30,0.20833333333333331,22,0,1000
2,30,0.20833333333333331,22,66,1000
3,30,0.20833333333333331,22,42,1000
4,30,0.20833333333333331,22,69,1000
1,60,0.20833333333333331,22,0,1000
2,60,0.20833333333333331,22,67,1000
3,60,0.20833333333333331,22,41,1000
4,60,0.20833333333333331,22,65,1000
1,90,0.20833333333333331,22,0,1000
2,90,0.20833333333333331,22,61,1000
3,90,0.20833333333333331,22,41,1000
4,90,0.20833333333333331,22,73,1000
1,120,0.20833333333333331,22,0,1000
2,120,0.20833333333333331,22,69,1000
3,120,0.20833333333333331,22,42,1000
4,120,0.20833333333333331,22,62,1000
1,150,0.20833333333333331,22,0,1000
2,150,0.20833333333333331,22,56,1000
3,150,0.20833333333333331,22,54,1000
4,150,0.20833333333333331,22,65,1000
1,180,0.20833333333333331,22,0,1000
