virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,330,0.9583333333333333,93,574,10000
1,360,0.9583333333333333,93,0,10000
2,360,0.9583333333333333,93,693,10000
3,360,0.9583333333333333,93,322,10000
4,360,0.9583333333333333,93,672,10000
1,-360,1,93,0,10000
2,-360,1,93,747,10000
3,-360,1,93,331,10000
4,-360,1,93,598,10000
1,-330,1,93,0,10000
2,-330,1,93,771,10000
3,-330,1,93,468,10000
4,-330,1,93,584,10000
1,-300,1,93,0,10000
2,-300,1,93,727,10000
3,-300,1,93,363,10000
4,-300,1,93,654,10000
1,-270,1,93,0,10000
2,-270,1,93,662,10000
3,-270,1,93,403,10000
4,-270,1,93,561,10000
1,-240,1,93,0,10000
2,-240,1,93,572,10000
3,-240,1,93,430,10000
4,-240,1,93,626,10000
1,-210,1,93,0,10000
