virus,vaccine_timing,vaccine_coverage,group,emergences,trials
3,0,0.5,49,389,10000
4,0,0.5,49,560,10000
1,30,0.5,49,0,10000
2,30,0.5,49,548,10000
3,30,0.5,49,312,10000
4,30,0.5,49,513,10000
1,60,0.5,49,0,10000
2,60,0.5,49,736,10000
3,60,0.5,49,312,10000
4,60,0.5,49,633,10000
1,90,0.5,49,0,10000
2,90,0.5,49,653,10000
3,90,0.5,49,328,10000
4,90,0.5,49,560,10000
1,120,0.5,49,0,10000
2,120,0.5,49,632,10000
3,120,0.5,49,327,10000
4,120,0.5,49,582,10000
1,150,0.5,49,1,10000
2,150,0.5,49,637,10000
3,150,0.5,49,508,10000
4,150,0.5,49,548,10000
1,180,0.5,49,0,10000
2,180,0.5,49,701,10000
3,180,0.5,49,401,10000
4,180,0.5,49,548,10000
