virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,330,0.6666666666666666,66,76,1000
3,330,0.6666666666666666,66,45,1000
4,330,0.6666666666666666,66,58,1000
1,360,0.6666666666666666,66,0,1000
2,360,0.6666666666666666,66,84,1000
3,360,0.6666666666666666,66,46,1000
4,360,0.6666666666666666,66,69,1000
1,-360,0.7083333333333333,66,0,1000
2,-360,0.7083333333333333,66,65,1000
3,-360,0.7083333333333333,66,54,1000
4,-360,0.7083333333333333,66,63,1000
1,-330,0.7083333333333333,66,0,1000
2,-330,0.7083333333333333,66,65,1000
3,-330,0.7083333333333333,66,43,1000
4,-330,0.7083333333333333,66,64,1000
1,-300,0.7083333333333333,66,0,1000
2,-300,0.7083333333333333,66,66,1000
3,-300,0.7083333333333333,66,53,1000
4,-300,0.7083333333333333,66,60,1000
1,-270,0.7083333333333333,66,0,1000
2,-270,0.7083333333333333,66,55,1000
3,-270,0.7083333333333333,66,40,1000
4,-270,0.7083333333333333,66,72,1000
1,-240,0.7083333333333333,66,0,1000
2,-240,0.7083333333333333,66,67,1000
3,-240,0.7083333333333333,66,52,1000
