virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,-30,0.7083333333333333,68,44,1000
3,-30,0.7083333333333333,68,21,1000
4,-30,0.7083333333333333,68,40,1000
1,0,0.7083333333333333,68,0,1000
2,0,0.7083333333333333,68,47,1000
3,0,0.7083333333333333,68,19,1000
4,0,0.7083333333333333,68,41,1000
1,30,0.7083333333333333,68,0,1000
2,30,0.7083333333333333,68,60,1000
3,30,0.7083333333333333,68,34,1000
4,30,0.7083333333333333,68,50,1000
1,60,0.7083333333333333,68,0,1000
2,60,0.7083333333333333,68,64,1000
3,60,0.7083333333333333,68,43,1000
4,60,0.7083333333333333,68,53,1000
1,90,0.7083333333333333,68,0,1000
2,90,0.7083333333333333,68,60,1000
3,90,0.7083333333333333,68,40,1000
4,90,0.7083333333333333,68,63,1000
1,120,0.7083333333333333,68,0,1000
2,120,0.7083333333333333,68,62,1000
3,120,0.7083333333333333,68,27,1000
4,120,0.7083333333333333,68,54,1000
1,150,0.7083333333333333,68,0,1000
2,150,0.7083333333333333,68,65,1000
3,150,0.7083333333333333,68,37,1000
