virus,vaccine_timing,vaccine_coverage,group,emergences,trials
1,-180,0.5,48,1,10000
2,-180,0.5,48,638,10000
3,-180,0.5,48,423,10000
4,-180,0.5,48,587,10000
1,-150,0.5,48,1,10000
2,-150,0.5,48,709,10000
3,-150,0.5,48,479,10000
4,-150,0.5,48,641,10000
1,-120,0.5,48,0,10000
2,-120,0.5,48,672,10000
3,-120,0.5,48,333,10000
4,-120,0.5,48,609,10000
1,-90,0.5,48,0,10000
2,-90,0.5,48,682,10000
3,-90,0.5,48,409,10000
4,-90,0.5,48,562,10000
1,-60,0.5,48,0,10000
2,-60,0.5,48,590,10000
3,-60,0.5,48,364,10000
4,-60,0.5,48,505,10000
1,-30,0.5,48,0,10000
2,-30,0.5,48,519,10000
3,-30,0.5,48,289,10000
4,-30,0.5,48,485,10000
1,0,0.5,48,0,10000
2,0,0.5,48,506,10000
