virus,vaccine_timing,vaccine_coverage,group,emergences,trials
1,210,0.5,50,0,1000
2,210,0.5,50,77,1000
3,210,0.5,50,41,1000
4,210,0.5,50,66,1000
1,240,0.5,50,0,1000
2,240,0.5,50,72,1000
3,240,0.5,50,42,1000
4,240,0.5,50,70,1000
1,270,0.5,50,0,1000
2,270,0.5,50,80,1000
3,270,0.5,50,45,1000
4,270,0.5,50,62,1000
1,300,0.5,50,0,1000
2,300,0.5,50,67,1000
3,300,0.5,50,39,1000
4,300,0.5,50,73,1000
1,330,0.5,50,0,1000
2,330,0.5,50,74,1000
3,330,0.5,50,52,1000
4,330,0.5,50,57,1000
1,360,0.5,50,0,1000
2,360,0.5,50,93,1000
3,360,0.5,50,62,1000
4,360,0.5,50,54,1000
1,-360,0.5416666666666666,50,0,1000
2,-360,0.5416666666666666,50,54,1000
