virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,0,0.25,26,57,1000
1,30,0.25,26,0,1000
2,30,0.25,26,52,1000
3,30,0.25,26,29,1000
4,30,0.25,26,46,1000
1,60,0.25,26,0,1000
2,60,0.25,26,67,1000
3,60,0.25,26,47,1000
4,60,0.25,26,47,1000
1,90,0.25,26,0,1000
2,90,0.25,26,68,1000
3,90,0.25,26,38,1000
4,90,0.25,26,59,1000
1,120,0.25,26,0,1000
2,120,0.25,26,59,1000
3,120,0.25,26,52,1000
4,120,0.25,26,51,1000
1,150,0.25,26,0,1000
2,150,0.25,26,68,1000
3,150,0.25,26,49,1000
4,150,0.25,26,61,1000
1,180,0.25,26,0,1000
2,180,0.25,26,63,1000
3,180,0.25,26,43,1000
4,180,0.25,26,63,1000
1,210,0.25,26,0,1000
