virus,vaccine_timing,vaccine_coverage,group,emergences,trials
3,-300,0.625,59,419,10000
4,-300,0.625,59,661,10000
1,-270,0.625,59,0,10000
2,-270,0.625,59,753,10000
3,-270,0.625,59,453,10000
4,-270,0.625,59,675,10000
1,-240,0.625,59,0,10000
2,-240,0.625,59,717,10000
3,-240,0.625,59,386,10000
4,-240,0.625,59,622,10000
1,-210,0.625,59,0,10000
2,-210,0.625,59,622,10000
3,-210,0.625,59,404,10000
4,-210,0.625,59,641,10000
1,-180,0.625,59,0,10000
2,-180,0.625,59,661,10000
3,-180,0.625,59,389,10000
4,-180,0.625,59,654,10000
1,-150,0.625,59,0,10000
2,-150,0.625,59,684,10000
3,-150,0.625,59,366,10000
4,-150,0.625,59,572,10000
1,-120,0.625,59,0,10000
2,-120,0.625,59,519,10000
3,-120,0.625,59,372,10000
4,-120,0.625,59,629,10000
