virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,-90,0.125,14,85,1000
1,-60,0.125,14,0,1000
2,-60,0.125,14,72,1000
3,-60,0.125,14,47,1000
4,-60,0.125,14,59,1000
1,-30,0.125,14,0,1000
2,-30,0.125,14,50,1000
3,-30,0.125,14,43,1000
4,-30,0.125,14,69,1000
1,0,0.125,14,0,1000
2,0,0.125,14,56,1000
3,0,0.125,14,44,1000
4,0,0.125,14,40,1000
1,30,0.125,14,0,1000
2,30,0.125,14,63,1000
3,30,0.125,14,32,1000
4,30,0.125,14,57,1000
1,60,0.125,14,0,1000
2,60,0.125,14,60,1000
3,60,0.125,14,56,1000
4,60,0.125,14,62,1000
1,90,0.125,14,0,1000
2,90,0.125,14,60,1000
3,90,0.125,14,48,1000
4,90,0.125,14,60,1000
1,120,0.125,14,0,1000
