R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
2,0.25,-30,0.5416666666666666,0.25,18,11,50
3,0.25,-30,0.5416666666666666,0.25,18,19,50
4,0.25,-30,0.5416666666666666,0.25,18,26,50
5,0.25,-30,0.5416666666666666,0.25,18,27,50
6,0.25,-30,0.5416666666666666,0.25,18,29,50
2,0.5,-30,0.5416666666666666,0.5,18,8,50
3,0.5,-30,0.5416666666666666,0.5,18,14,50
4,0.5,-30,0.5416666666666666,0.5,18,21,50
5,0.5,-30,0.5416666666666666,0.5,18,29,50
6,0.5,-30,0.5416666666666666,0.5,18,32,50
2,0.75,-30,0.5416666666666666,0.75,18,9,50
3,0.75,-30,0.5416666666666666,0.75,18,18,50
4,0.75,-30,0.5416666666666666,0.75,18,27,50
5,0.75,-30,0.5416666666666666,0.75,18,19,50
6,0.75,-30,0.5416666666666666,0.75,18,19,50
2,1,-30,0.5416666666666666,1,18,5,50
3,1,-30,0.5416666666666666,1,18,11,50
4,1,-30,0.5416666666666666,1,18,16,50
5,1,-30,0.5416666666666666,1,18,25,50
6,1,-30,0.5416666666666666,1,18,25,50
2,0,0,0.5416666666666666,0,18,10,50
3,0,0,0.5416666666666666,0,18,24,50
4,0,0,0.5416666666666666,0,18,25,50
5,0,0,0.5416666666666666,0,18,30,50
6,0,0,0.5416666666666666,0,18,29,50
2,0.25,0,0.5416666666666666,0.25,18,7,50
3,0.25,0,0.5416666666666666,0.25,18,15,50
4,0.25,0,0.5416666666666666,0.25,18,25,50
5,0.25,0,0.5416666666666666,0.25,18,26,50
6,0.25,0,0.5416666666666666,0.25,18,30,50
2,0.5,0,0.5416666666666666,0.5,18,6,50
3,0.5,0,0.5416666666666666,0.5,18,13,50
4,0.5,0,0.5416666666666666,0.5,18,21,50
5,0.5,0,0.5416666666666666,0.5,18,29,50
6,0.5,0,0.5416666666666666,0.5,18,34,50
2,0.75,0,0.5416666666666666,0.75,18,10,50
3,0.75,0,0.5416666666666666,0.75,18,12,50
4,0.75,0,0.5416666666666666,0.75,18,20,50
5,0.75,0,0.5416666666666666,0.75,18,21,50
6,0.75,0,0.5416666666666666,0.75,18,24,50
2,1,0,0.5416666666666666,1,18,6,50
3,1,0,0.5416666666666666,1,18,10,50
4,1,0,0.5416666666666666,1,18,19,50
5,1,0,0.5416666666666666,1,18,30,50
6,1,0,0.5416666666666666,1,18,28,50
2,0,30,0.5416666666666666,0,18,11,50
3,0,30,0.5416666666666666,0,18,19,50
4,0,30,0.5416666666666666,0,18,23,50
5,0,30,0.5416666666666666,0,18,30,50
6,0,30,0.5416666666666666,0,18,30,50
2,0.25,30,0.5416666666666666,0.25,18,10,50
3,0.25,30,0.5416666666666666,0.25,18,16,50
4,0.25,30,0.5416666666666666,0.25,18,22,50
5,0.25,30,0.5416666666666666,0.25,18,30,50
6,0.25,30,0.5416666666666666,0.25,18,27,50
2,0.5,30,0.5416666666666666,0.5,18,10,50
3,0.5,30,0.5416666666666666,0.5,18,19,50
4,0.5,30,0.5416666666666666,0.5,18,26,50
5,0.5,30,0.5416666666666666,0.5,18,27,50
6,0.5,30,0.5416666666666666,0.5,18,28,50
2,0.75,30,0.5416666666666666,0.75,18,12,50
3,0.75,30,0.5416666666666666,0.75,18,22,50
4,0.75,30,0.5416666666666666,0.75,18,19,50
5,0.75,30,0.5416666666666666,0.75,18,27,50
6,0.75,30,0.5416666666666666,0.75,18,33,50
2,1,30,0.5416666666666666,1,18,7,50
3,1,30,0.5416666666666666,1,18,21,50
4,1,30,0.5416666666666666,1,18,31,50
5,1,30,0.5416666666666666,1,18,30,50
6,1,30,0.5416666666666666,1,18,35,50
2,0,60,0.5416666666666666,0,18,14,50
3,0,60,0.5416666666666666,0,18,16,50
4,0,60,0.5416666666666666,0,18,22,50
5,0,60,0.5416666666666666,0,18,28,50
6,0,60,0.5416666666666666,0,18,34,50
2,0.25,60,0.5416666666666666,0.25,18,9,50
3,0.25,60,0.5416666666666666,0.25,18,20,50
4,0.25,60,0.5416666666666666,0.25,18,26,50
5,0.25,60,0.5416666666666666,0.25,18,25,50
6,0.25,60,0.5416666666666666,0.25,18,33,50
2,0.5,60,0.5416666666666666,0.5,18,14,50
3,0.5,60,0.5416666666666666,0.5,18,20,50
4,0.5,60,0.5416666666666666,0.5,18,21,50
5,0.5,60,0.5416666666666666,0.5,18,30,50
6,0.5,60,0.5416666666666666,0.5,18,34,50
2,0.75,60,0.5416666666666666,0.75,18,12,50
3,0.75,60,0.5416666666666666,0.75,18,30,50
4,0.75,60,0.5416666666666666,0.75,18,25,50
5,0.75,60,0.5416666666666666,0.75,18,27,50
6,0.75,60,0.5416666666666666,0.75,18,24,50
