R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
2,0.5,-90,0.375,0.5,13,17,333
3,0.5,-90,0.375,0.5,13,74,333
4,0.5,-90,0.375,0.5,13,100,333
5,0.5,-90,0.375,0.5,13,139,333
6,0.5,-90,0.375,0.5,13,146,333
2,0.75,-90,0.375,0.75,13,3,333
3,0.75,-90,0.375,0.75,13,36,333
4,0.75,-90,0.375,0.75,13,60,333
5,0.75,-90,0.375,0.75,13,100,333
6,0.75,-90,0.375,0.75,13,120,333
2,1,-90,0.375,1,13,0,333
3,1,-90,0.375,1,13,0,333
4,1,-90,0.375,1,13,5,333
5,1,-90,0.375,1,13,27,333
6,1,-90,0.375,1,13,47,333
2,0,-60,0.375,0,13,64,333
3,0,-60,0.375,0,13,117,333
4,0,-60,0.375,0,13,159,333
5,0,-60,0.375,0,13,169,333
6,0,-60,0.375,0,13,222,333
2,0.25,-60,0.375,0.25,13,54,333
3,0.25,-60,0.375,0.25,13,102,333
4,0.25,-60,0.375,0.25,13,138,333
5,0.25,-60,0.375,0.25,13,157,333
6,0.25,-60,0.375,0.25,13,195,333
2,0.5,-60,0.375,0.5,13,18,333
3,0.5,-60,0.375,0.5,13,66,333
4,0.5,-60,0.375,0.5,13,109,333
5,0.5,-60,0.375,0.5,13,153,333
6,0.5,-60,0.375,0.5,13,161,333
2,0.75,-60,0.375,0.75,13,2,333
3,0.75,-60,0.375,0.75,13,33,333
4,0.75,-60,0.375,0.75,13,60,333
5,0.75,-60,0.375,0.75,13,100,333
6,0.75,-60,0.375,0.75,13,125,333
2,1,-60,0.375,1,13,0,333
3,1,-60,0.375,1,13,0,333
4,1,-60,0.375,1,13,3,333
5,1,-60,0.375,1,13,15,333
6,1,-60,0.375,1,13,47,333
2,0,-30,0.375,0,13,62,333
3,0,-30,0.375,0,13,109,333
4,0,-30,0.375,0,13,150,333
5,0,-30,0.375,0,13,182,333
6,0,-30,0.375,0,13,208,333
2,0.25,-30,0.375,0.25,13,51,333
3,0.25,-30,0.375,0.25,13,100,333
4,0.25,-30,0.375,0.25,13,129,333
5,0.25,-30,0.375,0.25,13,159,333
6,0.25,-30,0.375,0.25,13,172,333
2,0.5,-30,0.375,0.5,13,26,333
3,0.5,-30,0.375,0.5,13,53,333
4,0.5,-30,0.375,0.5,13,114,333
5,0.5,-30,0.375,0.5,13,140,333
6,0.5,-30,0.375,0.5,13,147,333
2,0.75,-30,0.375,0.75,13,1,333
3,0.75,-30,0.375,0.75,13,27,333
4,0.75,-30,0.375,0.75,13,63,333
5,0.75,-30,0.375,0.75,13,95,333
6,0.75,-30,0.375,0.75,13,108,333
2,1,-30,0.375,1,13,0,333
3,1,-30,0.375,1,13,0,333
4,1,-30,0.375,1,13,4,333
5,1,-30,0.375,1,13,16,333
6,1,-30,0.375,1,13,39,333
2,0,0,0.375,0,13,78,333
3,0,0,0.375,0,13,116,333
4,0,0,0.375,0,13,172,333
5,0,0,0.375,0,13,193,333
6,0,0,0.375,0,13,205,333
2,0.25,0,0.375,0.25,13,55,333
3,0.25,0,0.375,0.25,13,108,333
4,0.25,0,0.375,0.25,13,141,333
5,0.25,0,0.375,0.25,13,158,333
6,0.25,0,0.375,0.25,13,186,333
2,0.5,0,0.375,0.5,13,17,333
3,0.5,0,0.375,0.5,13,60,333
4,0.5,0,0.375,0.5,13,106,333
5,0.5,0,0.375,0.5,13,136,333
6,0.5,0,0.375,0.5,13,181,333
2,0.75,0,0.375,0.75,13,2,333
3,0.75,0,0.375,0.75,13,22,333
4,0.75,0,0.375,0.75,13,70,333
5,0.75,0,0.375,0.75,13,97,333
6,0.75,0,0.375,0.75,13,114,333
2,1,0,0.375,1,13,0,333
3,1,0,0.375,1,13,0,333
4,1,0,0.375,1,13,1,333
5,1,0,0.375,1,13,15,333
6,1,0,0.375,1,13,30,333
2,0,30,0.375,0,13,69,333
3,0,30,0.375,0,13,130,333
4,0,30,0.375,0,13,167,333
5,0,30,0.375,0,13,195,333
6,0,30,0.375,0,13,198,333
