virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,90,0.125,14,6830,100000
3,90,0.125,14,4116,100000
4,90,0.125,14,6104,100000
1,120,0.125,14,1,100000
2,120,0.125,15,6977,100000
3,120,0.125,15,4250,100000
4,120,0.125,15,6134,100000
1,150,0.125,15,1,100000
2,150,0.125,15,6894,100000
3,150,0.125,15,4206,100000
4,150,0.125,15,6230,100000
1,180,0.125,15,3,100000
2,180,0.125,15,6984,100000
3,180,0.125,15,4252,100000
4,180,0.125,15,6346,100000
1,210,0.125,15,4,100000
2,210,0.125,15,7015,100000
3,210,0.125,15,4385,100000
4,210,0.125,15,6353,100000
1,240,0.125,15,1,100000
2,240,0.125,15,7043,100000
3,240,0.125,15,4270,100000
4,240,0.125,15,6366,100000
1,270,0.125,15,2,100000
2,270,0.125,15,7006,100000
3,270,0.125,15,4246,100000
4,270,0.125,15,6352,100000
1,300,0.125,15,4,100000
2,300,0.125,15,6986,100000
3,300,0.125,15,4341,100000
4,300,0.125,16,6403,100000
1,330,0.125,16,3,100000
2,330,0.125,16,6871,100000
3,330,0.125,16,4220,100000
4,330,0.125,16,6263,100000
1,360,0.125,16,1,100000
2,360,0.125,16,7062,100000
3,360,0.125,16,4248,100000
4,360,0.125,16,6185,100000
1,-360,0.16666666666666666,16,4,100000
2,-360,0.16666666666666666,16,7014,100000
3,-360,0.16666666666666666,16,4270,100000
4,-360,0.16666666666666666,16,6199,100000
1,-330,0.16666666666666666,16,3,100000
2,-330,0.16666666666666666,16,7118,100000
3,-330,0.16666666666666666,16,4307,100000
4,-330,0.16666666666666666,16,6414,100000
1,-300,0.16666666666666666,16,5,100000
2,-300,0.16666666666666666,16,7089,100000
3,-300,0.16666666666666666,16,4298,100000
4,-300,0.16666666666666666,16,6300,100000
1,-270,0.16666666666666666,16,1,100000
2,-270,0.16666666666666666,16,6946,100000
3,-270,0.16666666666666666,16,4231,100000
4,-270,0.16666666666666666,16,6276,100000
1,-240,0.16666666666666666,16,4,100000
2,-240,0.16666666666666666,17,6965,100000
3,-240,0.16666666666666666,17,4220,100000
4,-240,0.16666666666666666,17,6334,100000
1,-210,0.16666666666666666,17,1,100000
2,-210,0.16666666666666666,17,6962,100000
3,-210,0.16666666666666666,17,4114,100000
4,-210,0.16666666666666666,17,6260,100000
1,-180,0.16666666666666666,17,4,100000
2,-180,0.16666666666666666,17,6990,100000
3,-180,0.16666666666666666,17,4265,100000
4,-180,0.16666666666666666,17,6244,100000
1,-150,0.16666666666666666,17,4,100000
2,-150,0.16666666666666666,17,6841,100000
3,-150,0.16666666666666666,17,4377,100000
4,-150,0.16666666666666666,17,6354,100000
1,-120,0.16666666666666666,17,4,100000
2,-120,0.16666666666666666,17,6873,100000
3,-120,0.16666666666666666,17,4276,100000
4,-120,0.16666666666666666,17,6224,100000
1,-90,0.16666666666666666,17,0,100000
2,-90,0.16666666666666666,17,6667,100000
3,-90,0.16666666666666666,17,4125,100000
4,-90,0.16666666666666666,17,6053,100000
1,-60,0.16666666666666666,17,3,100000
2,-60,0.16666666666666666,17,6630,100000
3,-60,0.16666666666666666,17,4059,100000
4,-60,0.16666666666666666,18,6163,100000
1,-30,0.16666666666666666,18,4,100000
2,-30,0.16666666666666666,18,6341,100000
3,-30,0.16666666666666666,18,4025,100000
4,-30,0.16666666666666666,18,5836,100000
1,0,0.16666666666666666,18,3,100000
2,0,0.16666666666666666,18,6445,100000
3,0,0.16666666666666666,18,3962,100000
4,0,0.16666666666666666,18,6048,100000
1,30,0.16666666666666666,18,2,100000
2,30,0.16666666666666666,18,6581,100000
3,30,0.16666666666666666,18,4164,100000
4,30,0.16666666666666666,18,6015,100000
1,60,0.16666666666666666,18,0,100000
2,60,0.16666666666666666,18,6692,100000
3,60,0.16666666666666666,18,4166,100000
4,60,0.16666666666666666,18,6166,100000
1,90,0.16666666666666666,18,1,100000
2,90,0.16666666666666666,18,6714,100000
3,90,0.16666666666666666,18,4126,100000
4,90,0.16666666666666666,18,6120,100000
1,120,0.16666666666666666,18,0,100000
2,120,0.16666666666666666,18,6916,100000
3,120,0.16666666666666666,18,4212,100000
4,120,0.16666666666666666,18,6218,100000
1,150,0.16666666666666666,18,3,100000
2,150,0.16666666666666666,19,6965,100000
3,150,0.16666666666666666,19,4267,100000
4,150,0.16666666666666666,19,6307,100000
1,180,0.16666666666666666,19,3,100000
2,180,0.16666666666666666,19,6941,100000
3,180,0.16666666666666666,19,4322,100000
4,180,0.16666666666666666,19,6332,100000
1,210,0.16666666666666666,19,3,100000
2,210,0.16666666666666666,19,7015,100000
3,210,0.16666666666666666,19,4247,100000
4,210,0.16666666666666666,19,6359,100000
1,240,0.16666666666666666,19,4,100000
2,240,0.16666666666666666,19,6999,100000
3,240,0.16666666666666666,19,4232,100000
4,240,0.16666666666666666,19,6424,100000
1,270,0.16666666666666666,19,5,100000
2,270,0.16666666666666666,19,6957,100000
3,270,0.16666666666666666,19,4271,100000
4,270,0.16666666666666666,19,6392,100000
1,300,0.16666666666666666,19,4,100000
2,300,0.16666666666666666,19,7020,100000
3,300,0.16666666666666666,19,4298,100000
4,300,0.16666666666666666,19,6390,100000
1,330,0.16666666666666666,19,1,100000
2,330,0.16666666666666666,19,6984,100000
3,330,0.16666666666666666,19,4263,100000
4,-180,0,2,6300,100000
1,-150,0,2,2,100000
2,-150,0,2,7058,100000
3,-150,0,2,4304,100000
4,-150,0,2,6452,100000
1,-120,0,2,2,100000
2,-120,0,2,7077,100000
3,-120,0,2,4286,100000
4,-120,0,2,6299,100000
1,-90,0,2,1,100000
2,-90,0,2,7041,100000
3,-90,0,2,4346,100000
4,-90,0,2,6439,100000
1,-60,0,2,3,100000
2,-60,0,2,6999,100000
3,-60,0,2,4316,100000
4,-60,0,2,6409,100000
1,-30,0,2,4,100000
2,-30,0,2,7115,100000
3,-30,0,2,4272,100000
4,-30,0,2,6403,100000
1,0,0,2,1,100000
2,0,0,2,6928,100000
3,0,0,2,4361,100000
4,0,0,2,6358,100000
1,30,0,2,5,100000
4,330,0.16666666666666666,20,6121,100000
1,360,0.16666666666666666,20,2,100000
2,360,0.16666666666666666,20,7080,100000
3,360,0.16666666666666666,20,4294,100000
4,360,0.16666666666666666,20,6279,100000
1,-360,0.20833333333333331,20,1,100000
2,-360,0.20833333333333331,20,6983,100000
3,-360,0.20833333333333331,20,4319,100000
4,-360,0.20833333333333331,20,6361,100000
1,-330,0.20833333333333331,20,2,100000
2,-330,0.20833333333333331,20,7097,100000
3,-330,0.20833333333333331,20,4266,100000
4,-330,0.20833333333333331,20,6513,100000
1,-300,0.20833333333333331,20,1,100000
2,-300,0.20833333333333331,20,6941,100000
3,-300,0.20833333333333331,20,4154,100000
4,-300,0.20833333333333331,20,6286,100000
1,-270,0.20833333333333331,20,3,100000
2,-270,0.20833333333333331,20,7058,100000
3,-270,0.20833333333333331,20,4201,100000
4,-270,0.20833333333333331,20,6312,100000
1,-240,0.20833333333333331,20,4,100000
2,-240,0.20833333333333331,20,6953,100000
3,-240,0.20833333333333331,20,4328,100000
4,-240,0.20833333333333331,20,6393,100000
1,-210,0.20833333333333331,20,0,100000
2,-210,0.20833333333333331,21,7093,100000
3,-210,0.20833333333333331,21,4087,100000
4,-210,0.20833333333333331,21,6294,100000
1,-180,0.20833333333333331,21,3,100000
2,-180,0.20833333333333331,21,6957,100000
3,-180,0.20833333333333331,21,4287,100000
4,-180,0.20833333333333331,21,6210,100000
