R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,emergences,trials
2,0,-360,0,0.05,5176,25000
2,0,-360,0.0416666666666666,0.05,5103,25000
2,0,-360,0.0833333333333333,0.05,5117,25000
2,0,-360,0.125,0.05,5155,25000
2,0,-360,0.1666666666666666,0.05,5251,25000
2,0,-360,0.2083333333333333,0.05,5194,25000
2,0,-360,0.25,0.05,5075,25000
2,0,-360,0.2916666666666666,0.05,5251,25000
2,0,-360,0.3333333333333333,0.05,5106,25000
2,0,-360,0.375,0.05,5212,25000
2,0,-360,0.4166666666666666,0.05,5217,25000
2,0,-360,0.4583333333333333,0.05,5156,25000
2,0,-360,0.5,0.05,5083,25000
2,0,-360,0.5416666666666666,0.05,5065,25000
2,0,-360,0.5833333333333333,0.05,5274,25000
2,0,-360,0.625,0.05,5304,25000
2,0,-360,0.6666666666666666,0.05,5281,25000
2,0,-360,0.7083333333333333,0.05,5181,25000
2,0,-360,0.75,0.05,5216,25000
2,0,-360,0.7916666666666666,0.05,5262,25000
2,0,-360,0.8333333333333333,0.05,5210,25000
2,0,-360,0.875,0.05,5192,25000
2,0,-360,0.9166666666666666,0.05,5236,25000
2,0,-360,0.9583333333333331,0.05,5194,25000
2,0,-360,1,0.05,5313,25000
2,0,-330,0,0.05,5215,25000
2,0,-330,0.0416666666666666,0.05,5095,25000
2,0,-330,0.0833333333333333,0.05,5199,25000
2,0,-330,0.125,0.05,5153,25000
2,0,-330,0.1666666666666666,0.05,5123,25000
2,0,-330,0.2083333333333333,0.05,5159,25000
2,0,-330,0.25,0.05,5227,25000
2,0,-330,0.2916666666666666,0.05,5173,25000
2,0,-330,0.3333333333333333,0.05,5280,25000
2,0,-330,0.375,0.05,5160,25000
2,0,-330,0.4166666666666666,0.05,5128,25000
2,0,-330,0.4583333333333333,0.05,5225,25000
2,0,-330,0.5,0.05,5289,25000
2,0,-330,0.5416666666666666,0.05,5301,25000
2,0,-330,0.5833333333333333,0.05,5217,25000
