virus,vaccine_timing,vaccine_coverage,group,emergences,trials
1,300,0.625,62,0,10000
2,300,0.625,62,704,10000
3,300,0.625,62,400,10000
4,300,0.625,62,645,10000
1,330,0.625,62,0,10000
2,330,0.625,62,706,10000
3,330,0.625,62,443,10000
4,330,0.625,62,645,10000
1,360,0.625,62,0,10000
2,360,0.625,62,716,10000
3,360,0.625,62,449,10000
4,360,0.625,62,654,10000
1,-360,0.6666666666666666,62,1,10000
2,-360,0.6666666666666666,62,713,10000
3,-360,0.6666666666666666,62,387,10000
4,-360,0.6666666666666666,62,645,10000
1,-330,0.6666666666666666,62,0,10000
2,-330,0.6666666666666666,62,709,10000
3,-330,0.6666666666666666,62,423,10000
4,-330,0.6666666666666666,62,591,10000
1,-300,0.6666666666666666,62,1,10000
2,-300,0.6666666666666666,62,703,10000
3,-300,0.6666666666666666,62,443,10000
4,-300,0.6666666666666666,62,631,10000
1,-270,0.6666666666666666,62,0,10000
2,-270,0.6666666666666666,62,651,10000
