virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,120,0.125,15,692,10000
3,120,0.125,15,428,10000
4,120,0.125,15,631,10000
1,150,0.125,15,0,10000
2,150,0.125,15,651,10000
3,150,0.125,15,392,10000
4,150,0.125,15,634,10000
1,180,0.125,15,0,10000
2,180,0.125,15,678,10000
3,180,0.125,15,451,10000
4,180,0.125,15,616,10000
1,210,0.125,15,0,10000
2,210,0.125,15,652,10000
3,210,0.125,15,444,10000
4,210,0.125,15,637,10000
1,240,0.125,15,0,10000
2,240,0.125,15,702,10000
3,240,0.125,15,452,10000
4,240,0.125,15,619,10000
1,270,0.125,15,0,10000
2,270,0.125,15,652,10000
3,270,0.125,15,446,10000
4,270,0.125,15,652,10000
1,300,0.125,15,0,10000
2,300,0.125,15,681,10000
3,300,0.125,15,434,10000
