virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,180,0.20833333333333331,23,688,10000
3,180,0.20833333333333331,23,404,10000
4,180,0.20833333333333331,23,637,10000
1,210,0.20833333333333331,23,0,10000
2,210,0.20833333333333331,23,742,10000
3,210,0.20833333333333331,23,433,10000
4,210,0.20833333333333331,23,600,10000
1,240,0.20833333333333331,23,0,10000
2,240,0.20833333333333331,23,717,10000
3,240,0.20833333333333331,23,424,10000
4,240,0.20833333333333331,23,652,10000
1,270,0.20833333333333331,23,0,10000
2,270,0.20833333333333331,23,696,10000
3,270,0.20833333333333331,23,432,10000
4,270,0.20833333333333331,23,644,10000
1,300,0.20833333333333331,23,0,10000
2,300,0.20833333333333331,23,678,10000
3,300,0.20833333333333331,23,460,10000
4,300,0.20833333333333331,23,664,10000
1,330,0.20833333333333331,23,0,10000
2,330,0.20833333333333331,23,724,10000
3,330,0.20833333333333331,23,442,10000
4,330,0.20833333333333331,23,683,10000
1,360,0.20833333333333331,23,0,10000
2,360,0.20833333333333331,23,703,10000
3,360,0.20833333333333331,23,448,10000
