virus,vaccine_timing,vaccine_coverage,group,emergences,trials
1,150,0.41666666666666663,42,1,10000
2,150,0.41666666666666663,42,690,10000
3,150,0.41666666666666663,42,441,10000
4,150,0.41666666666666663,42,630,10000
1,180,0.41666666666666663,42,0,10000
2,180,0.41666666666666663,42,689,10000
3,180,0.41666666666666663,42,417,10000
4,180,0.41666666666666663,42,612,10000
1,210,0.41666666666666663,42,0,10000
2,210,0.41666666666666663,42,671,10000
3,210,0.41666666666666663,42,418,10000
4,210,0.41666666666666663,42,602,10000
1,240,0.41666666666666663,42,0,10000
2,240,0.41666666666666663,42,683,10000
3,240,0.41666666666666663,42,447,10000
4,240,0.41666666666666663,42,607,10000
1,270,0.41666666666666663,42,0,10000
2,270,0.41666666666666663,42,686,10000
3,270,0.41666666666666663,42,450,10000
4,270,0.41666666666666663,42,643,10000
1,300,0.41666666666666663,42,0,10000
2,300,0.41666666666666663,42,662,10000
3,300,0.41666666666666663,42,422,10000
4,300,0.41666666666666663,42,645,10000
1,330,0.41666666666666663,42,0,10000
2,330,0.41666666666666663,42,666,10000
