virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,-120,0.875,83,577,10000
1,-90,0.875,83,0,10000
2,-90,0.875,83,496,10000
3,-90,0.875,83,317,10000
4,-90,0.875,83,458,10000
1,-60,0.875,83,0,10000
2,-60,0.875,83,421,10000
3,-60,0.875,83,259,10000
4,-60,0.875,83,486,10000
1,-30,0.875,83,0,10000
2,-30,0.875,83,308,10000
3,-30,0.875,83,186,10000
4,-30,0.875,83,367,10000
1,0,0.875,83,0,10000
2,0,0.875,83,343,10000
3,0,0.875,83,169,10000
4,0,0.875,83,396,10000
1,30,0.875,83,0,10000
2,30,0.875,83,410,10000
3,30,0.875,83,223,10000
4,30,0.875,83,468,10000
1,60,0.875,83,0,10000
2,60,0.875,83,482,10000
3,60,0.875,83,235,10000
4,60,0.875,83,522,10000
1,90,0.875,83,0,10000
