virus,vaccine_timing,vaccine_coverage,group,emergences,trials
3,330,0.41666666666666663,43,431,10000
4,330,0.41666666666666663,43,628,10000
1,360,0.41666666666666663,43,0,10000
2,360,0.41666666666666663,43,671,10000
3,360,0.41666666666666663,43,443,10000
4,360,0.41666666666666663,43,635,10000
1,-360,0.4583333333333333,43,0,10000
2,-360,0.4583333333333333,43,689,10000
3,-360,0.4583333333333333,43,401,10000
4,-360,0.4583333333333333,43,619,10000
1,-330,0.4583333333333333,43,0,10000
2,-330,0.4583333333333333,43,723,10000
3,-330,0.4583333333333333,43,451,10000
4,-330,0.4583333333333333,43,654,10000
1,-300,0.4583333333333333,43,2,10000
2,-300,0.4583333333333333,43,713,10000
3,-300,0.4583333333333333,43,429,10000
4,-300,0.4583333333333333,43,601,10000
1,-270,0.4583333333333333,43,0,10000
2,-270,0.4583333333333333,43,624,10000
3,-270,0.4583333333333333,43,415,10000
4,-270,0.4583333333333333,43,635,10000
1,-240,0.4583333333333333,43,0,10000
2,-240,0.4583333333333333,43,676,10000
3,-240,0.4583333333333333,43,432,10000
4,-240,0.4583333333333333,43,682,10000
