virus,vaccine_timing,vaccine_coverage,group,emergences,trials
1,120,0.375,38,0,10000
2,120,0.375,38,723,10000
3,120,0.375,38,391,10000
4,120,0.375,38,617,10000
1,150,0.375,38,0,10000
2,150,0.375,38,705,10000
3,150,0.375,38,392,10000
4,150,0.375,38,581,10000
1,180,0.375,38,0,10000
2,180,0.375,38,618,10000
3,180,0.375,38,449,10000
4,180,0.375,38,617,10000
1,210,0.375,38,0,10000
2,210,0.375,38,690,10000
3,210,0.375,38,399,10000
4,210,0.375,38,614,10000
1,240,0.375,38,0,10000
2,240,0.375,38,679,10000
3,240,0.375,38,421,10000
4,240,0.375,38,649,10000
1,270,0.375,38,0,10000
2,270,0.375,38,692,10000
3,270,0.375,38,373,10000
4,270,0.375,38,602,10000
1,300,0.375,38,0,10000
2,300,0.375,38,723,10000
