virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,-270,0.9166666666666666,86,644,10000
3,-270,0.9166666666666666,86,372,10000
4,-270,0.9166666666666666,86,616,10000
1,-240,0.9166666666666666,86,0,10000
2,-240,0.9166666666666666,86,665,10000
3,-240,0.9166666666666666,86,413,10000
4,-240,0.9166666666666666,86,631,10000
1,-210,0.9166666666666666,86,0,10000
2,-210,0.9166666666666666,86,713,10000
3,-210,0.9166666666666666,86,390,10000
4,-210,0.9166666666666666,86,638,10000
1,-180,0.9166666666666666,86,0,10000
2,-180,0.9166666666666666,86,626,10000
3,-180,0.9166666666666666,86,392,10000
4,-180,0.9166666666666666,86,604,10000
1,-150,0.9166666666666666,86,0,10000
2,-150,0.9166666666666666,86,602,10000
3,-150,0.9166666666666666,86,357,10000
4,-150,0.9166666666666666,86,560,10000
1,-120,0.9166666666666666,86,0,10000
2,-120,0.9166666666666666,86,560,10000
3,-120,0.9166666666666666,86,315,10000
4,-120,0.9166666666666666,86,527,10000
1,-90,0.9166666666666666,86,0,10000
2,-90,0.9166666666666666,86,474,10000
3,-90,0.9166666666666666,86,259,10000
