virus,vaccine_timing,vaccine_coverage,group,emergences,trials
3,0,0.5,49,287,10000
4,0,0.5,49,472,10000
1,30,0.5,49,0,10000
2,30,0.5,49,559,10000
3,30,0.5,49,335,10000
4,30,0.5,49,522,10000
1,60,0.5,49,0,10000
2,60,0.5,49,573,10000
3,60,0.5,49,361,10000
4,60,0.5,49,576,10000
1,90,0.5,49,0,10000
2,90,0.5,49,619,10000
3,90,0.5,49,384,10000
4,90,0.5,49,551,10000
1,120,0.5,49,0,10000
2,120,0.5,49,663,10000
3,120,0.5,49,386,10000
4,120,0.5,49,575,10000
1,150,0.5,49,0,10000
2,150,0.5,49,648,10000
3,150,0.5,49,385,10000
4,150,0.5,49,616,10000
1,180,0.5,49,0,10000
2,180,0.5,49,690,10000
3,180,0.5,49,383,10000
4,180,0.5,49,586,10000
