virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,-120,0.08333333333333333,10,651,10000
1,-90,0.08333333333333333,10,0,10000
2,-90,0.08333333333333333,10,676,10000
3,-90,0.08333333333333333,10,401,10000
4,-90,0.08333333333333333,10,644,10000
1,-60,0.08333333333333333,10,1,10000
2,-60,0.08333333333333333,10,705,10000
3,-60,0.08333333333333333,10,404,10000
4,-60,0.08333333333333333,10,614,10000
1,-30,0.08333333333333333,10,0,10000
2,-30,0.08333333333333333,10,629,10000
3,-30,0.08333333333333333,10,410,10000
4,-30,0.08333333333333333,10,592,10000
1,0,0.08333333333333333,10,0,10000
2,0,0.08333333333333333,10,668,10000
3,0,0.08333333333333333,10,429,10000
4,0,0.08333333333333333,10,607,10000
1,30,0.08333333333333333,10,0,10000
2,30,0.08333333333333333,10,711,10000
3,30,0.08333333333333333,10,418,10000
4,30,0.08333333333333333,10,601,10000
1,60,0.08333333333333333,10,0,10000
2,60,0.08333333333333333,10,696,10000
3,60,0.08333333333333333,10,408,10000
4,60,0.08333333333333333,10,616,10000
1,90,0.08333333333333333,10,0,10000
