virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,150,0.7083333333333333,69,591,10000
1,180,0.7083333333333333,69,0,10000
2,180,0.7083333333333333,69,686,10000
3,180,0.7083333333333333,69,335,10000
4,180,0.7083333333333333,69,622,10000
1,210,0.7083333333333333,69,0,10000
2,210,0.7083333333333333,69,666,10000
3,210,0.7083333333333333,69,389,10000
4,210,0.7083333333333333,69,597,10000
1,240,0.7083333333333333,69,0,10000
2,240,0.7083333333333333,69,659,10000
3,240,0.7083333333333333,69,383,10000
4,240,0.7083333333333333,69,557,10000
1,270,0.7083333333333333,69,0,10000
2,270,0.7083333333333333,69,710,10000
3,270,0.7083333333333333,69,337,10000
4,270,0.7083333333333333,69,593,10000
1,300,0.7083333333333333,69,1,10000
2,300,0.7083333333333333,69,643,10000
3,300,0.7083333333333333,69,507,10000
4,300,0.7083333333333333,69,691,10000
1,330,0.7083333333333333,69,0,10000
2,330,0.7083333333333333,69,650,10000
3,330,0.7083333333333333,69,406,10000
4,330,0.7083333333333333,69,690,10000
1,360,0.7083333333333333,69,0,10000
