virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,240,0.29166666666666663,31,671,10000
3,240,0.29166666666666663,31,442,10000
4,240,0.29166666666666663,31,660,10000
1,270,0.29166666666666663,31,0,10000
2,270,0.29166666666666663,31,738,10000
3,270,0.29166666666666663,31,431,10000
4,270,0.29166666666666663,31,582,10000
1,300,0.29166666666666663,31,1,10000
2,300,0.29166666666666663,31,715,10000
3,300,0.29166666666666663,31,438,10000
4,300,0.29166666666666663,31,651,10000
1,330,0.29166666666666663,31,0,10000
2,330,0.29166666666666663,31,734,10000
3,330,0.29166666666666663,31,432,10000
4,330,0.29166666666666663,31,612,10000
1,360,0.29166666666666663,31,1,10000
2,360,0.29166666666666663,31,734,10000
3,360,0.29166666666666663,31,421,10000
4,360,0.29166666666666663,31,590,10000
1,-360,0.3333333333333333,31,2,10000
2,-360,0.3333333333333333,31,728,10000
3,-360,0.3333333333333333,31,461,10000
4,-360,0.3333333333333333,31,631,10000
1,-330,0.3333333333333333,31,0,10000
2,-330,0.3333333333333333,31,667,10000
3,-330,0.3333333333333333,31,420,10000
