virus,vaccine_timing,vaccine_coverage,group,emergences,trials
3,30,0.5416666666666666,53,380,10000
4,30,0.5416666666666666,53,511,10000
1,60,0.5416666666666666,53,1,10000
2,60,0.5416666666666666,53,580,10000
3,60,0.5416666666666666,53,359,10000
4,60,0.5416666666666666,53,544,10000
1,90,0.5416666666666666,53,0,10000
2,90,0.5416666666666666,53,671,10000
3,90,0.5416666666666666,53,384,10000
4,90,0.5416666666666666,53,607,10000
1,120,0.5416666666666666,53,0,10000
2,120,0.5416666666666666,53,566,10000
3,120,0.5416666666666666,53,353,10000
4,120,0.5416666666666666,53,613,10000
1,150,0.5416666666666666,53,0,10000
2,150,0.5416666666666666,53,636,10000
3,150,0.5416666666666666,53,310,10000
4,150,0.5416666666666666,53,597,10000
1,180,0.5416666666666666,53,0,10000
2,180,0.5416666666666666,53,658,10000
3,180,0.5416666666666666,53,380,10000
4,180,0.5416666666666666,53,591,10000
1,210,0.5416666666666666,53,0,10000
2,210,0.5416666666666666,53,676,10000
3,210,0.5416666666666666,53,403,10000
4,210,0.5416666666666666,53,631,10000
