virus,vaccine_timing,vaccine_coverage,group,emergences,trials
3,-330,0.5833333333333333,55,462,10000
4,-330,0.5833333333333333,55,651,10000
1,-300,0.5833333333333333,55,0,10000
2,-300,0.5833333333333333,55,695,10000
3,-300,0.5833333333333333,55,456,10000
4,-300,0.5833333333333333,55,594,10000
1,-270,0.5833333333333333,55,0,10000
2,-270,0.5833333333333333,55,718,10000
3,-270,0.5833333333333333,55,433,10000
4,-270,0.5833333333333333,55,643,10000
1,-240,0.5833333333333333,55,1,10000
2,-240,0.5833333333333333,55,662,10000
3,-240,0.5833333333333333,55,401,10000
4,-240,0.5833333333333333,55,627,10000
1,-210,0.5833333333333333,55,0,10000
2,-210,0.5833333333333333,55,644,10000
3,-210,0.5833333333333333,55,425,10000
4,-210,0.5833333333333333,55,582,10000
1,-180,0.5833333333333333,55,3,10000
2,-180,0.5833333333333333,55,619,10000
3,-180,0.5833333333333333,55,403,10000
4,-180,0.5833333333333333,55,596,10000
1,-150,0.5833333333333333,55,0,10000
2,-150,0.5833333333333333,55,677,10000
3,-150,0.5833333333333333,55,362,10000
4,-150,0.5833333333333333,55,618,10000
