virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,120,0.125,15,696,10000
3,120,0.125,15,421,10000
4,120,0.125,15,563,10000
1,150,0.125,15,0,10000
2,150,0.125,15,678,10000
3,150,0.125,15,421,10000
4,150,0.125,15,642,10000
1,180,0.125,15,0,10000
2,180,0.125,15,715,10000
3,180,0.125,15,405,10000
4,180,0.125,15,595,10000
1,210,0.125,15,0,10000
2,210,0.125,15,705,10000
3,210,0.125,15,445,10000
4,210,0.125,15,629,10000
1,240,0.125,15,0,10000
2,240,0.125,15,691,10000
3,240,0.125,15,416,10000
4,240,0.125,15,616,10000
1,270,0.125,15,0,10000
2,270,0.125,15,727,10000
3,270,0.125,15,426,10000
4,270,0.125,15,652,10000
1,300,0.125,15,0,10000
2,300,0.125,15,676,10000
3,300,0.125,15,440,10000
