virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,-330,0.041666666666666664,5,702,10000
3,-330,0.041666666666666664,5,436,10000
4,-330,0.041666666666666664,5,631,10000
1,-300,0.041666666666666664,5,0,10000
2,-300,0.041666666666666664,5,702,10000
3,-300,0.041666666666666664,5,415,10000
4,-300,0.041666666666666664,5,653,10000
1,-270,0.041666666666666664,5,0,10000
2,-270,0.041666666666666664,5,697,10000
3,-270,0.041666666666666664,5,450,10000
4,-270,0.041666666666666664,5,612,10000
1,-240,0.041666666666666664,5,1,10000
2,-240,0.041666666666666664,5,680,10000
3,-240,0.041666666666666664,5,430,10000
4,-240,0.041666666666666664,5,622,10000
1,-210,0.041666666666666664,5,0,10000
2,-210,0.041666666666666664,5,734,10000
3,-210,0.041666666666666664,5,442,10000
4,-210,0.041666666666666664,5,657,10000
1,-180,0.041666666666666664,5,0,10000
2,-180,0.041666666666666664,5,676,10000
3,-180,0.041666666666666664,5,396,10000
4,-180,0.041666666666666664,5,655,10000
1,-150,0.041666666666666664,5,0,10000
2,-150,0.041666666666666664,5,693,10000
3,-150,0.041666666666666664,5,433,10000
