virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,-240,0.16666666666666666,17,717,10000
3,-240,0.16666666666666666,17,474,10000
4,-240,0.16666666666666666,17,632,10000
1,-210,0.16666666666666666,17,0,10000
2,-210,0.16666666666666666,17,628,10000
3,-210,0.16666666666666666,17,368,10000
4,-210,0.16666666666666666,17,649,10000
1,-180,0.16666666666666666,17,1,10000
2,-180,0.16666666666666666,17,586,10000
3,-180,0.16666666666666666,17,448,10000
4,-180,0.16666666666666666,17,622,10000
1,-150,0.16666666666666666,17,0,10000
2,-150,0.16666666666666666,17,599,10000
3,-150,0.16666666666666666,17,434,10000
4,-150,0.16666666666666666,17,593,10000
1,-120,0.16666666666666666,17,0,10000
2,-120,0.16666666666666666,17,701,10000
3,-120,0.16666666666666666,17,443,10000
4,-120,0.16666666666666666,17,652,10000
1,-90,0.16666666666666666,17,0,10000
2,-90,0.16666666666666666,17,698,10000
3,-90,0.16666666666666666,17,403,10000
4,-90,0.16666666666666666,17,579,10000
1,-60,0.16666666666666666,17,0,10000
2,-60,0.16666666666666666,17,636,10000
3,-60,0.16666666666666666,17,401,10000
