virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,120,0.9166666666666666,88,578,10000
3,120,0.9166666666666666,88,256,10000
4,120,0.9166666666666666,88,568,10000
1,150,0.9166666666666666,88,0,10000
2,150,0.9166666666666666,88,601,10000
3,150,0.9166666666666666,88,302,10000
4,150,0.9166666666666666,88,594,10000
1,180,0.9166666666666666,88,0,10000
2,180,0.9166666666666666,88,641,10000
3,180,0.9166666666666666,88,311,10000
4,180,0.9166666666666666,88,600,10000
1,210,0.9166666666666666,88,0,10000
2,210,0.9166666666666666,88,630,10000
3,210,0.9166666666666666,88,356,10000
4,210,0.9166666666666666,88,625,10000
1,240,0.9166666666666666,88,0,10000
2,240,0.9166666666666666,88,602,10000
3,240,0.9166666666666666,88,399,10000
4,240,0.9166666666666666,88,602,10000
1,270,0.9166666666666666,88,0,10000
2,270,0.9166666666666666,88,731,10000
3,270,0.9166666666666666,88,368,10000
4,270,0.9166666666666666,88,649,10000
1,300,0.9166666666666666,88,0,10000
2,300,0.9166666666666666,88,687,10000
3,300,0.9166666666666666,88,405,10000
