virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,300,0.125,16,605,10000
1,330,0.125,16,0,10000
2,330,0.125,16,701,10000
3,330,0.125,16,427,10000
4,330,0.125,16,632,10000
1,360,0.125,16,0,10000
2,360,0.125,16,709,10000
3,360,0.125,16,428,10000
4,360,0.125,16,579,10000
1,-360,0.16666666666666666,16,1,10000
2,-360,0.16666666666666666,16,680,10000
3,-360,0.16666666666666666,16,414,10000
4,-360,0.16666666666666666,16,619,10000
1,-330,0.16666666666666666,16,1,10000
2,-330,0.16666666666666666,16,658,10000
3,-330,0.16666666666666666,16,421,10000
4,-330,0.16666666666666666,16,653,10000
1,-300,0.16666666666666666,16,1,10000
2,-300,0.16666666666666666,16,701,10000
3,-300,0.16666666666666666,16,446,10000
4,-300,0.16666666666666666,16,607,10000
1,-270,0.16666666666666666,16,0,10000
2,-270,0.16666666666666666,16,671,10000
3,-270,0.16666666666666666,16,427,10000
4,-270,0.16666666666666666,16,648,10000
1,-240,0.16666666666666666,16,0,10000
