virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,120,0.6666666666666666,65,573,10000
1,150,0.6666666666666666,65,0,10000
2,150,0.6666666666666666,65,634,10000
3,150,0.6666666666666666,65,383,10000
4,150,0.6666666666666666,65,646,10000
1,180,0.6666666666666666,65,0,10000
2,180,0.6666666666666666,65,670,10000
3,180,0.6666666666666666,65,381,10000
4,180,0.6666666666666666,65,635,10000
1,210,0.6666666666666666,65,0,10000
2,210,0.6666666666666666,65,665,10000
3,210,0.6666666666666666,65,405,10000
4,210,0.6666666666666666,65,639,10000
1,240,0.6666666666666666,65,0,10000
2,240,0.6666666666666666,65,698,10000
3,240,0.6666666666666666,65,417,10000
4,240,0.6666666666666666,65,636,10000
1,270,0.6666666666666666,65,0,10000
2,270,0.6666666666666666,65,699,10000
3,270,0.6666666666666666,65,381,10000
4,270,0.6666666666666666,65,623,10000
1,300,0.6666666666666666,65,0,10000
2,300,0.6666666666666666,65,696,10000
3,300,0.6666666666666666,65,446,10000
4,300,0.6666666666666666,65,637,10000
1,330,0.6666666666666666,65,0,10000
