virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,60,0.8333333333333333,80,503,10000
3,60,0.8333333333333333,80,230,10000
4,60,0.8333333333333333,80,483,10000
1,90,0.8333333333333333,80,0,10000
2,90,0.8333333333333333,80,514,10000
3,90,0.8333333333333333,80,291,10000
4,90,0.8333333333333333,80,555,10000
1,120,0.8333333333333333,80,0,10000
2,120,0.8333333333333333,80,594,10000
3,120,0.8333333333333333,80,317,10000
4,120,0.8333333333333333,80,573,10000
1,150,0.8333333333333333,80,0,10000
2,150,0.8333333333333333,80,609,10000
3,150,0.8333333333333333,80,332,10000
4,150,0.8333333333333333,80,558,10000
1,180,0.8333333333333333,80,0,10000
2,180,0.8333333333333333,80,629,10000
3,180,0.8333333333333333,80,348,10000
4,180,0.8333333333333333,80,612,10000
1,210,0.8333333333333333,80,0,10000
2,210,0.8333333333333333,80,640,10000
3,210,0.8333333333333333,80,385,10000
4,210,0.8333333333333333,80,626,10000
1,240,0.8333333333333333,80,0,10000
2,240,0.8333333333333333,80,634,10000
3,240,0.8333333333333333,80,410,10000
