virus,vaccine_timing,vaccine_coverage,group,emergences,trials
3,60,0.5833333333333333,57,313,10000
4,60,0.5833333333333333,57,531,10000
1,90,0.5833333333333333,57,0,10000
2,90,0.5833333333333333,57,567,10000
3,90,0.5833333333333333,57,364,10000
4,90,0.5833333333333333,57,622,10000
1,120,0.5833333333333333,57,1,10000
2,120,0.5833333333333333,57,642,10000
3,120,0.5833333333333333,57,384,10000
4,120,0.5833333333333333,57,572,10000
1,150,0.5833333333333333,57,0,10000
2,150,0.5833333333333333,57,645,10000
3,150,0.5833333333333333,57,382,10000
4,150,0.5833333333333333,57,595,10000
1,180,0.5833333333333333,57,0,10000
2,180,0.5833333333333333,57,689,10000
3,180,0.5833333333333333,57,405,10000
4,180,0.5833333333333333,57,635,10000
1,210,0.5833333333333333,57,0,10000
2,210,0.5833333333333333,57,686,10000
3,210,0.5833333333333333,57,423,10000
4,210,0.5833333333333333,57,642,10000
1,240,0.5833333333333333,57,0,10000
2,240,0.5833333333333333,57,666,10000
3,240,0.5833333333333333,57,422,10000
4,240,0.5833333333333333,57,598,10000
