virus,vaccine_timing,vaccine_coverage,group,emergences,trials
3,-90,0.375,37,367,10000
4,-90,0.375,37,550,10000
1,-60,0.375,37,1,10000
2,-60,0.375,37,559,10000
3,-60,0.375,37,368,10000
4,-60,0.375,37,586,10000
1,-30,0.375,37,0,10000
2,-30,0.375,37,578,10000
3,-30,0.375,37,333,10000
4,-30,0.375,37,545,10000
1,0,0.375,37,0,10000
2,0,0.375,37,520,10000
3,0,0.375,37,332,10000
4,0,0.375,37,544,10000
1,30,0.375,37,1,10000
2,30,0.375,37,592,10000
3,30,0.375,37,342,10000
4,30,0.375,37,554,10000
1,60,0.375,37,0,10000
2,60,0.375,37,637,10000
3,60,0.375,37,450,10000
4,60,0.375,37,612,10000
1,90,0.375,37,1,10000
2,90,0.375,37,615,10000
3,90,0.375,37,384,10000
4,90,0.375,37,557,10000
