virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,-180,0,2,644,10000
1,-150,0,2,2,10000
2,-150,0,2,689,10000
3,-150,0,2,467,10000
4,-150,0,2,627,10000
1,-120,0,2,0,10000
2,-120,0,2,666,10000
3,-120,0,2,385,10000
4,-120,0,2,635,10000
1,-90,0,2,0,10000
2,-90,0,2,674,10000
3,-90,0,2,435,10000
4,-90,0,2,665,10000
1,-60,0,2,0,10000
2,-60,0,2,692,10000
3,-60,0,2,384,10000
4,-60,0,2,651,10000
1,-30,0,2,0,10000
2,-30,0,2,749,10000
3,-30,0,2,419,10000
4,-30,0,2,625,10000
1,0,0,2,0,10000
2,0,0,2,666,10000
3,0,0,2,437,10000
4,0,0,2,628,10000
1,30,0,2,0,10000
