virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,-90,0.9166666666666666,87,468,10000
1,-60,0.9166666666666666,87,0,10000
2,-60,0.9166666666666666,87,391,10000
3,-60,0.9166666666666666,87,226,10000
4,-60,0.9166666666666666,87,462,10000
1,-30,0.9166666666666666,87,0,10000
2,-30,0.9166666666666666,87,291,10000
3,-30,0.9166666666666666,87,162,10000
4,-30,0.9166666666666666,87,409,10000
1,0,0.9166666666666666,87,0,10000
2,0,0.9166666666666666,87,311,10000
3,0,0.9166666666666666,87,162,10000
4,0,0.9166666666666666,87,411,10000
1,30,0.9166666666666666,87,0,10000
2,30,0.9166666666666666,87,367,10000
3,30,0.9166666666666666,87,187,10000
4,30,0.9166666666666666,87,455,10000
1,60,0.9166666666666666,87,0,10000
2,60,0.9166666666666666,87,430,10000
3,60,0.9166666666666666,87,233,10000
4,60,0.9166666666666666,87,492,10000
1,90,0.9166666666666666,87,0,10000
2,90,0.9166666666666666,87,537,10000
3,90,0.9166666666666666,87,264,10000
4,90,0.9166666666666666,87,522,10000
1,120,0.9166666666666666,87,0,10000
