virus,vaccine_timing,vaccine_coverage,group,emergences,trials
1,120,0.375,38,0,10000
2,120,0.375,38,693,10000
3,120,0.375,38,430,10000
4,120,0.375,38,587,10000
1,150,0.375,38,1,10000
2,150,0.375,38,654,10000
3,150,0.375,38,395,10000
4,150,0.375,38,599,10000
1,180,0.375,38,0,10000
2,180,0.375,38,661,10000
3,180,0.375,38,422,10000
4,180,0.375,38,606,10000
1,210,0.375,38,0,10000
2,210,0.375,38,740,10000
3,210,0.375,38,410,10000
4,210,0.375,38,624,10000
1,240,0.375,38,0,10000
2,240,0.375,38,718,10000
3,240,0.375,38,413,10000
4,240,0.375,38,661,10000
1,270,0.375,38,0,10000
2,270,0.375,38,705,10000
3,270,0.375,38,455,10000
4,270,0.375,38,640,10000
1,300,0.375,38,0,10000
2,300,0.375,38,680,10000
