virus,vaccine_timing,vaccine_coverage,group,emergences,trials
2,-180,0.25,25,725,10000
3,-180,0.25,25,425,10000
4,-180,0.25,25,634,10000
1,-150,0.25,25,0,10000
2,-150,0.25,25,683,10000
3,-150,0.25,25,385,10000
4,-150,0.25,25,621,10000
1,-120,0.25,25,0,10000
2,-120,0.25,25,667,10000
3,-120,0.25,25,378,10000
4,-120,0.25,25,613,10000
1,-90,0.25,25,0,10000
2,-90,0.25,25,648,10000
3,-90,0.25,25,419,10000
4,-90,0.25,25,569,10000
1,-60,0.25,25,0,10000
2,-60,0.25,25,636,10000
3,-60,0.25,25,390,10000
4,-60,0.25,25,629,10000
1,-30,0.25,25,0,10000
2,-30,0.25,25,630,10000
3,-30,0.25,25,373,10000
4,-30,0.25,25,523,10000
1,0,0.25,25,1,10000
2,0,0.25,25,585,10000
3,0,0.25,25,382,10000
