R0_wuhan,recovery_wuhan,waning_wuhan,R0_alpha,recovery_alpha,waning_alpha,R0_delta,recovery_delta,waning_delta,R0_omicron,recovery_omicron,waning_omicron,weight
1.5697869815080454,0.04942507241167208,8.127965357823909e-5,2.4056844886847646,0.40492884727267053,0.0011562222022359538,2.661595475647802,0.10363113955005368,0.0019950428889621225,3.9616257874552354,0.3338360248041809,0.011137440098294182,7.065428580518154e-4
1.6100792697558255,0.04846790567043088,4.6047962358800595e-5,2.1221641418249564,0.32002783503901716,7.377543455738411e-4,2.404707094503705,0.08137626541323176,0.003925574774425407,3.0275608194605197,0.42388014515520095,0.018804872350191754,0.0014731990913068088
1.5714515201115768,0.05046147851328111,0.0012807378237100107,2.378868574985687,0.4344666322717185,1.0420996524439535e-4,2.919064246237446,0.09778496577695274,1.027606588200618e-4,3.4724035280536123,0.33017922940181277,0.010375817662195454,0.003752122572173803
1.5723349624105147,0.04914974737834412,0.007502559394361987,2.333716635013974,0.4070919859195025,5.58264056131001e-4,2.8094984391434044,0.09016745725916164,5.954509048241433e-4,3.2655525411416972,0.39860789852679895,0.015807667503125632,0.005615693154905703
1.6099007212929188,0.04953359873420347,0.002641105260108532,2.1420887811634164,0.29981756462013626,2.452630389861549e-4,2.5425774110338644,0.07727123795848409,7.143621891281665e-4,3.071162907883519,0.3440887358865723,0.013279513902633818,0.008086926447356944
1.5568996660442271,0.05218551589299213,0.004403206763572892,2.417668684372022,0.3751318789206656,7.976219578705219e-4,2.5804634460463283,0.08137633134826498,0.0026275267508956137,2.790374926567734,0.4211046931786163,0.017340329936570843,3.988655909024649e-5
1.6040115508634212,0.05065747898571953,0.0034197256260835927,2.185514836367278,0.2954633968923891,3.1016503874683424e-4,2.4258194295676794,0.08140361520461198,0.005267431046759946,3.263327291590525,0.37582943796037016,0.014788756311868963,0.002262574077450584
1.5964081596239434,0.04936011024686904,0.009324125062380315,2.2476780483644094,0.3838515062293489,0.0016460704367665371,2.493200484607198,0.09544681200435108,0.0020424932605953463,3.507284095833156,0.3446634698110728,0.01243685652095909,0.0029359707505752825
1.5893147263533105,0.04932730526381834,0.001425878623075884,2.218077802992944,0.3671676858655785,0.0025952857643313245,2.306703138884844,0.07258814722653358,2.726892215552214e-4,2.9820301424118485,0.42864120503824543,0.01909105022517839,9.417619011503818e-4
1.5625692765496582,0.05163551649420224,0.0033530091185686975,2.374982596275993,0.39375639990004535,3.5404742467938256e-4,2.6191557792834312,0.07229841313358114,5.109462114602003e-4,3.4580509761859535,0.3754667838152645,0.013440505284433156,2.2572865486833476e-4
1.5723349624105147,0.04914974737834412,0.020430127459168418,2.333716635013974,0.4070919859195025,1.2570435738475796e-4,2.8094984391434044,0.09016745725916164,0.0011222632196655395,2.958075294169407,0.38010671221571257,0.01691147871783602,0.0014875215510096907
