R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
3,0.75,90,0.625,0.05,21,18,50
4,0.75,90,0.625,0.05,21,24,50
5,0.75,90,0.625,0.05,21,39,50
6,0.75,90,0.625,0.05,21,27,50
2,1,90,0.625,0.05,21,9,50
3,1,90,0.625,0.05,21,21,50
4,1,90,0.625,0.05,21,16,50
5,1,90,0.625,0.05,21,30,50
6,1,90,0.625,0.05,21,32,50
2,0,120,0.625,0.05,21,12,50
3,0,120,0.625,0.05,21,22,50
4,0,120,0.625,0.05,21,27,50
5,0,120,0.625,0.05,21,27,50
6,0,120,0.625,0.05,21,31,50
2,0.25,120,0.625,0.05,21,21,50
3,0.25,120,0.625,0.05,21,25,50
4,0.25,120,0.625,0.05,21,23,50
5,0.25,120,0.625,0.05,21,24,50
6,0.25,120,0.625,0.05,21,27,50
2,0.5,120,0.625,0.05,21,11,50
3,0.5,120,0.625,0.05,21,26,50
4,0.5,120,0.625,0.05,21,25,50
5,0.5,120,0.625,0.05,21,30,50
6,0.5,120,0.625,0.05,21,34,50
2,0.75,120,0.625,0.05,21,9,50
3,0.75,120,0.625,0.05,21,20,50
4,0.75,120,0.625,0.05,21,26,50
5,0.75,120,0.625,0.05,21,34,50
6,0.75,120,0.625,0.05,21,32,50
2,1,120,0.625,0.05,21,10,50
3,1,120,0.625,0.05,21,24,50
4,1,120,0.625,0.05,21,18,50
5,1,120,0.625,0.05,21,30,50
6,1,120,0.625,0.05,21,28,50
2,0,150,0.625,0.05,21,10,50
3,0,150,0.625,0.05,21,23,50
4,0,150,0.625,0.05,21,25,50
5,0,150,0.625,0.05,21,30,50
6,0,150,0.625,0.05,21,37,50
2,0.25,150,0.625,0.05,21,11,50
3,0.25,150,0.625,0.05,21,17,50
4,0.25,150,0.625,0.05,21,23,50
5,0.25,150,0.625,0.05,21,36,50
6,0.25,150,0.625,0.05,21,32,50
2,0.5,150,0.625,0.05,21,11,50
3,0.5,150,0.625,0.05,21,23,50
4,0.5,150,0.625,0.05,21,23,50
5,0.5,150,0.625,0.05,21,29,50
6,0.5,150,0.625,0.05,21,20,50
2,0.75,150,0.625,0.05,21,9,50
3,0.75,150,0.625,0.05,21,16,50
4,0.75,150,0.625,0.05,21,29,50
5,0.75,150,0.625,0.05,21,19,50
6,0.75,150,0.625,0.05,21,35,50
2,1,150,0.625,0.05,21,15,50
3,1,150,0.625,0.05,21,26,50
4,1,150,0.625,0.05,21,29,50
5,1,150,0.625,0.05,21,23,50
6,1,150,0.625,0.05,21,33,50
2,0,180,0.625,0.05,21,11,50
3,0,180,0.625,0.05,21,23,50
4,0,180,0.625,0.05,21,20,50
5,0,180,0.625,0.05,21,26,50
6,0,180,0.625,0.05,21,32,50
2,0.25,180,0.625,0.05,21,11,50
3,0.25,180,0.625,0.05,21,22,50
4,0.25,180,0.625,0.05,21,21,50
5,0.25,180,0.625,0.05,21,33,50
6,0.25,180,0.625,0.05,21,31,50
2,0.5,180,0.625,0.05,21,9,50
3,0.5,180,0.625,0.05,21,17,50
4,0.5,180,0.625,0.05,21,23,50
5,0.5,180,0.625,0.05,21,33,50
6,0.5,180,0.625,0.05,21,28,50
2,0.75,180,0.625,0.05,21,10,50
3,0.75,180,0.625,0.05,21,29,50
4,0.75,180,0.625,0.05,21,18,50
5,0.75,180,0.625,0.05,21,27,50
6,0.75,180,0.625,0.05,21,37,50
2,1,180,0.625,0.05,21,12,50
3,1,180,0.625,0.05,21,22,50
4,1,180,0.625,0.05,21,20,50
5,1,180,0.625,0.05,21,33,50
6,1,180,0.625,0.05,21,29,50
2,0,210,0.625,0.05,21,10,50
3,0,210,0.625,0.05,21,31,50
4,0,210,0.625,0.05,21,29,50
5,0,210,0.625,0.05,21,29,50
6,0,210,0.625,0.05,21,29,50
2,0.25,210,0.625,0.05,21,10,50
3,0.25,210,0.625,0.05,21,17,50
4,0.25,210,0.625,0.05,21,24,50
5,0.25,210,0.625,0.05,21,27,50
6,0.25,210,0.625,0.05,21,38,50
2,0.5,210,0.625,0.05,21,8,50
3,0.5,210,0.625,0.05,21,22,50
4,0.5,210,0.625,0.05,21,24,50
5,0.5,210,0.625,0.05,21,26,50
6,0.5,210,0.625,0.05,21,37,50
2,0.75,210,0.625,0.05,21,11,50
3,0.75,210,0.625,0.05,21,24,50
4,0.75,210,0.625,0.05,21,22,50
5,0.75,210,0.625,0.05,21,23,50
6,0.75,210,0.625,0.05,21,32,50
2,1,210,0.625,0.05,21,17,50
3,1,210,0.625,0.05,21,19,50
4,1,210,0.625,0.05,21,25,50
5,1,210,0.625,0.05,21,29,50
6,1,210,0.625,0.05,21,29,50
2,0,240,0.625,0.05,21,13,50
3,0,240,0.625,0.05,21,16,50
4,0,240,0.625,0.05,21,26,50
5,0,240,0.625,0.05,21,31,50
6,0,240,0.625,0.05,21,30,50
2,0.25,240,0.625,0.05,21,15,50
3,0.25,240,0.625,0.05,21,18,50
4,0.25,240,0.625,0.05,21,25,50
5,0.25,240,0.625,0.05,21,28,50
6,0.25,240,0.625,0.05,21,32,50
2,0.5,240,0.625,0.05,21,13,50
3,0.5,240,0.625,0.05,21,19,50
4,0.5,240,0.625,0.05,21,27,50
5,0.5,240,0.625,0.05,21,28,50
6,0.5,240,0.625,0.05,21,29,50
2,0.75,240,0.625,0.05,21,13,50
3,0.75,240,0.625,0.05,21,21,50
4,0.75,240,0.625,0.05,21,26,50
5,0.75,240,0.625,0.05,21,30,50
6,0.75,240,0.625,0.05,21,29,50
2,1,240,0.625,0.05,21,14,50
3,1,240,0.625,0.05,21,17,50
4,1,240,0.625,0.05,21,29,50
5,1,240,0.625,0.05,21,18,50
6,1,240,0.625,0.05,21,28,50
2,0,270,0.625,0.05,21,14,50
3,0,270,0.625,0.05,21,18,50
4,0,270,0.625,0.05,21,28,50
5,0,270,0.625,0.05,21,29,50
6,0,270,0.625,0.05,21,29,50
2,0.25,270,0.625,0.05,21,15,50
3,0.25,270,0.625,0.05,21,21,50
4,0.25,270,0.625,0.05,21,25,50
5,0.25,270,0.625,0.05,21,30,50
6,0.25,270,0.625,0.05,21,33,50
2,0.5,270,0.625,0.05,21,12,50
3,0.5,270,0.625,0.05,21,18,50
4,0.5,270,0.625,0.05,21,23,50
5,0.5,270,0.625,0.05,21,25,50
6,0.5,270,0.625,0.05,21,31,50
2,0.75,270,0.625,0.05,21,11,50
3,0.75,270,0.625,0.05,21,17,50
4,0.75,270,0.625,0.05,21,30,50
5,0.75,270,0.625,0.05,21,29,50
6,0.75,270,0.625,0.05,21,34,50
2,1,270,0.625,0.05,21,12,50
3,1,270,0.625,0.05,21,20,50
4,1,270,0.625,0.05,21,31,50
5,1,270,0.625,0.05,21,27,50
6,1,270,0.625,0.05,21,31,50
2,0,300,0.625,0.05,21,12,50
3,0,300,0.625,0.05,21,19,50
4,0,300,0.625,0.05,21,24,50
5,0,300,0.625,0.05,21,27,50
6,0,300,0.625,0.05,21,33,50
2,0.25,300,0.625,0.05,21,7,50
3,0.25,300,0.625,0.05,21,23,50
4,0.25,300,0.625,0.05,21,24,50
5,0.25,300,0.625,0.05,21,32,50
6,0.25,300,0.625,0.05,21,32,50
2,0.5,300,0.625,0.05,21,16,50
3,0.5,300,0.625,0.05,21,20,50
4,0.5,300,0.625,0.05,21,20,50
5,0.5,300,0.625,0.05,21,28,50
6,0.5,300,0.625,0.05,21,40,50
2,0.75,300,0.625,0.05,21,7,50
3,0.75,300,0.625,0.05,21,20,50
4,0.75,300,0.625,0.05,21,24,50
5,0.75,300,0.625,0.05,21,26,50
6,0.75,300,0.625,0.05,21,34,50
2,1,300,0.625,0.05,21,11,50
3,1,300,0.625,0.05,21,12,50
4,1,300,0.625,0.05,21,25,50
5,1,300,0.625,0.05,21,30,50
6,1,300,0.625,0.05,21,27,50
2,0,330,0.625,0.05,21,11,50
3,0,330,0.625,0.05,21,21,50
4,0,330,0.625,0.05,21,23,50
5,0,330,0.625,0.05,21,30,50
6,0,330,0.625,0.05,21,31,50
2,0.25,330,0.625,0.05,21,11,50
3,0.25,330,0.625,0.05,21,14,50
4,0.25,330,0.625,0.05,21,32,50
5,0.25,330,0.625,0.05,21,30,50
6,0.25,330,0.625,0.05,21,34,50
2,0.5,330,0.625,0.05,21,10,50
3,0.5,330,0.625,0.05,21,22,50
4,0.5,330,0.625,0.05,21,23,50
5,0.5,330,0.625,0.05,21,26,50
6,0.5,330,0.625,0.05,21,32,50
2,0.75,330,0.625,0.05,21,7,50
3,0.75,330,0.625,0.05,21,16,50
4,0.75,330,0.625,0.05,21,23,50
5,0.75,330,0.625,0.05,21,29,50
6,0.75,330,0.625,0.05,21,29,50
2,1,330,0.625,0.05,21,10,50
3,1,330,0.625,0.05,21,24,50
4,1,330,0.625,0.05,21,27,50
5,1,330,0.625,0.05,21,28,50
6,1,330,0.625,0.05,21,29,50
2,0,360,0.625,0.05,21,16,50
3,0,360,0.625,0.05,21,16,50
4,0,360,0.625,0.05,21,22,50
5,0,360,0.625,0.05,21,31,50
6,0,360,0.625,0.05,21,31,50
2,0.25,360,0.625,0.05,21,12,50
3,0.25,360,0.625,0.05,21,20,50
4,0.25,360,0.625,0.05,21,25,50
5,0.25,360,0.625,0.05,21,35,50
6,0.25,360,0.625,0.05,21,35,50
2,0.5,360,0.625,0.05,21,7,50
3,0.5,360,0.625,0.05,21,21,50
4,0.5,360,0.625,0.05,21,23,50
5,0.5,360,0.625,0.05,21,32,50
6,0.5,360,0.625,0.05,21,26,50
2,0.75,360,0.625,0.05,21,11,50
3,0.75,360,0.625,0.05,21,21,50
4,0.75,360,0.625,0.05,21,25,50
5,0.75,360,0.625,0.05,21,25,50
6,0.75,360,0.625,0.05,21,34,50
2,1,360,0.625,0.05,21,9,50
3,1,360,0.625,0.05,21,20,50
4,1,360,0.625,0.05,21,24,50
5,1,360,0.625,0.05,21,29,50
6,1,360,0.625,0.05,21,32,50
2,0,-360,0.6666666666666666,0.05,21,13,50
3,0,-360,0.6666666666666666,0.05,21,19,50
4,0,-360,0.6666666666666666,0.05,21,22,50
5,0,-360,0.6666666666666666,0.05,21,28,50
6,0,-360,0.6666666666666666,0.05,21,36,50
2,0.25,-360,0.6666666666666666,0.05,21,7,50
3,0.25,-360,0.6666666666666666,0.05,21,21,50
4,0.25,-360,0.6666666666666666,0.05,21,24,50
5,0.25,-360,0.6666666666666666,0.05,21,32,50
6,0.25,-360,0.6666666666666666,0.05,21,34,50
2,0.5,-360,0.6666666666666666,0.05,21,9,50
3,0.5,-360,0.6666666666666666,0.05,21,23,50
4,0.5,-360,0.6666666666666666,0.05,21,31,50
5,0.5,-360,0.6666666666666666,0.05,21,21,50
6,0.5,-360,0.6666666666666666,0.05,21,31,50
2,0.75,-360,0.6666666666666666,0.05,21,6,50
3,0.75,-360,0.6666666666666666,0.05,21,21,50
4,0.75,-360,0.6666666666666666,0.05,21,28,50
5,0.75,-360,0.6666666666666666,0.05,21,33,50
6,0.75,-360,0.6666666666666666,0.05,21,32,50
2,1,-360,0.6666666666666666,0.05,21,13,50
3,1,-360,0.6666666666666666,0.05,21,28,50
4,1,-360,0.6666666666666666,0.05,21,25,50
5,1,-360,0.6666666666666666,0.05,21,29,50
6,1,-360,0.6666666666666666,0.05,21,27,50
2,0,-330,0.6666666666666666,0.05,21,15,50
3,0,-330,0.6666666666666666,0.05,21,21,50
4,0,-330,0.6666666666666666,0.05,21,25,50
5,0,-330,0.6666666666666666,0.05,21,30,50
6,0,-330,0.6666666666666666,0.05,21,34,50
2,0.25,-330,0.6666666666666666,0.05,21,13,50
3,0.25,-330,0.6666666666666666,0.05,21,22,50
4,0.25,-330,0.6666666666666666,0.05,21,24,50
5,0.25,-330,0.6666666666666666,0.05,21,30,50
6,0.25,-330,0.6666666666666666,0.05,21,30,50
2,0.5,-330,0.6666666666666666,0.05,21,12,50
3,0.5,-330,0.6666666666666666,0.05,21,19,50
4,0.5,-330,0.6666666666666666,0.05,21,22,50
5,0.5,-330,0.6666666666666666,0.05,21,25,50
6,0.5,-330,0.6666666666666666,0.05,21,31,50
2,0.75,-330,0.6666666666666666,0.05,21,10,50
3,0.75,-330,0.6666666666666666,0.05,21,23,50
4,0.75,-330,0.6666666666666666,0.05,21,32,50
5,0.75,-330,0.6666666666666666,0.05,21,28,50
6,0.75,-330,0.6666666666666666,0.05,21,22,50
2,1,-330,0.6666666666666666,0.05,21,12,50
3,1,-330,0.6666666666666666,0.05,21,19,50
4,1,-330,0.6666666666666666,0.05,21,25,50
5,1,-330,0.6666666666666666,0.05,21,26,50
6,1,-330,0.6666666666666666,0.05,21,32,50
2,0,-300,0.6666666666666666,0.05,21,13,50
3,0,-300,0.6666666666666666,0.05,21,17,50
4,0,-300,0.6666666666666666,0.05,21,27,50
5,0,-300,0.6666666666666666,0.05,21,25,50
6,0,-300,0.6666666666666666,0.05,21,36,50
2,0.25,-300,0.6666666666666666,0.05,21,11,50
3,0.25,-300,0.6666666666666666,0.05,21,19,50
4,0.25,-300,0.6666666666666666,0.05,21,24,50
5,0.25,-300,0.6666666666666666,0.05,21,28,50
6,0.25,-300,0.6666666666666666,0.05,21,30,50
2,0.5,-300,0.6666666666666666,0.05,21,10,50
3,0.5,-300,0.6666666666666666,0.05,21,26,50
4,0.5,-300,0.6666666666666666,0.05,21,30,50
5,0.5,-300,0.6666666666666666,0.05,21,31,50
6,0.5,-300,0.6666666666666666,0.05,21,29,50
2,0.75,-300,0.6666666666666666,0.05,21,17,50
3,0.75,-300,0.6666666666666666,0.05,21,18,50
4,0.75,-300,0.6666666666666666,0.05,21,24,50
5,0.75,-300,0.6666666666666666,0.05,21,24,50
6,0.75,-300,0.6666666666666666,0.05,21,35,50
2,1,-300,0.6666666666666666,0.05,21,16,50
3,1,-300,0.6666666666666666,0.05,21,25,50
4,1,-300,0.6666666666666666,0.05,21,28,50
5,1,-300,0.6666666666666666,0.05,21,32,50
6,1,-300,0.6666666666666666,0.05,21,25,50
2,0,-270,0.6666666666666666,0.05,21,14,50
3,0,-270,0.6666666666666666,0.05,21,16,50
4,0,-270,0.6666666666666666,0.05,21,25,50
5,0,-270,0.6666666666666666,0.05,21,32,50
6,0,-270,0.6666666666666666,0.05,21,26,50
2,0.25,-270,0.6666666666666666,0.05,21,10,50
3,0.25,-270,0.6666666666666666,0.05,21,21,50
4,0.25,-270,0.6666666666666666,0.05,21,29,50
5,0.25,-270,0.6666666666666666,0.05,21,34,50
6,0.25,-270,0.6666666666666666,0.05,21,31,50
2,0.5,-270,0.6666666666666666,0.05,21,9,50
3,0.5,-270,0.6666666666666666,0.05,21,25,50
4,0.5,-270,0.6666666666666666,0.05,21,29,50
5,0.5,-270,0.6666666666666666,0.05,21,32,50
6,0.5,-270,0.6666666666666666,0.05,21,32,50
2,0.75,-270,0.6666666666666666,0.05,21,15,50
3,0.75,-270,0.6666666666666666,0.05,21,19,50
4,0.75,-270,0.6666666666666666,0.05,21,29,50
5,0.75,-270,0.6666666666666666,0.05,21,27,50
6,0.75,-270,0.6666666666666666,0.05,21,29,50
2,1,-270,0.6666666666666666,0.05,21,10,50
3,1,-270,0.6666666666666666,0.05,21,18,50
4,1,-270,0.6666666666666666,0.05,21,27,50
5,1,-270,0.6666666666666666,0.05,21,36,50
6,1,-270,0.6666666666666666,0.05,21,26,50
2,0,-240,0.6666666666666666,0.05,21,15,50
3,0,-240,0.6666666666666666,0.05,21,19,50
4,0,-240,0.6666666666666666,0.05,21,33,50
5,0,-240,0.6666666666666666,0.05,21,31,50
6,0,-240,0.6666666666666666,0.05,21,35,50
2,0.25,-240,0.6666666666666666,0.05,21,13,50
3,0.25,-240,0.6666666666666666,0.05,21,18,50
4,0.25,-240,0.6666666666666666,0.05,21,25,50
5,0.25,-240,0.6666666666666666,0.05,21,29,50
6,0.25,-240,0.6666666666666666,0.05,21,29,50
2,0.5,-240,0.6666666666666666,0.05,21,12,50
3,0.5,-240,0.6666666666666666,0.05,21,21,50
4,0.5,-240,0.6666666666666666,0.05,21,20,50
5,0.5,-240,0.6666666666666666,0.05,21,31,50
6,0.5,-240,0.6666666666666666,0.05,21,35,50
2,0.75,-240,0.6666666666666666,0.05,21,15,50
3,0.75,-240,0.6666666666666666,0.05,21,21,50
4,0.75,-240,0.6666666666666666,0.05,21,29,50
5,0.75,-240,0.6666666666666666,0.05,21,28,50
6,0.75,-240,0.6666666666666666,0.05,21,33,50
2,1,-240,0.6666666666666666,0.05,21,12,50
3,1,-240,0.6666666666666666,0.05,21,19,50
4,1,-240,0.6666666666666666,0.05,21,22,50
5,1,-240,0.6666666666666666,0.05,21,26,50
6,1,-240,0.6666666666666666,0.05,21,28,50
2,0,-210,0.6666666666666666,0.05,21,19,50
3,0,-210,0.6666666666666666,0.05,21,15,50
4,0,-210,0.6666666666666666,0.05,21,19,50
5,0,-210,0.6666666666666666,0.05,21,21,50
6,0,-210,0.6666666666666666,0.05,21,26,50
2,0.25,-210,0.6666666666666666,0.05,21,12,50
3,0.25,-210,0.6666666666666666,0.05,21,21,50
4,0.25,-210,0.6666666666666666,0.05,21,26,50
5,0.25,-210,0.6666666666666666,0.05,21,27,50
6,0.25,-210,0.6666666666666666,0.05,21,33,50
2,0.5,-210,0.6666666666666666,0.05,21,9,50
3,0.5,-210,0.6666666666666666,0.05,21,18,50
4,0.5,-210,0.6666666666666666,0.05,21,22,50
5,0.5,-210,0.6666666666666666,0.05,21,30,50
6,0.5,-210,0.6666666666666666,0.05,21,29,50
2,0.75,-210,0.6666666666666666,0.05,21,5,50
3,0.75,-210,0.6666666666666666,0.05,21,23,50
4,0.75,-210,0.6666666666666666,0.05,21,24,50
5,0.75,-210,0.6666666666666666,0.05,21,29,50
6,0.75,-210,0.6666666666666666,0.05,21,34,50
2,1,-210,0.6666666666666666,0.05,21,9,50
3,1,-210,0.6666666666666666,0.05,21,18,50
4,1,-210,0.6666666666666666,0.05,21,24,50
5,1,-210,0.6666666666666666,0.05,21,32,50
6,1,-210,0.6666666666666666,0.05,21,33,50
2,0,-180,0.6666666666666666,0.05,21,12,50
3,0,-180,0.6666666666666666,0.05,21,23,50
4,0,-180,0.6666666666666666,0.05,21,23,50
5,0,-180,0.6666666666666666,0.05,21,23,50
6,0,-180,0.6666666666666666,0.05,21,30,50
2,0.25,-180,0.6666666666666666,0.05,21,10,50
3,0.25,-180,0.6666666666666666,0.05,21,22,50
4,0.25,-180,0.6666666666666666,0.05,21,27,50
5,0.25,-180,0.6666666666666666,0.05,21,24,50
6,0.25,-180,0.6666666666666666,0.05,21,27,50
2,0.5,-180,0.6666666666666666,0.05,21,15,50
3,0.5,-180,0.6666666666666666,0.05,21,19,50
4,0.5,-180,0.6666666666666666,0.05,21,35,50
5,0.5,-180,0.6666666666666666,0.05,21,27,50
6,0.5,-180,0.6666666666666666,0.05,21,33,50
2,0.75,-180,0.6666666666666666,0.05,21,6,50
3,0.75,-180,0.6666666666666666,0.05,21,21,50
4,0.75,-180,0.6666666666666666,0.05,21,25,50
5,0.75,-180,0.6666666666666666,0.05,21,31,50
6,0.75,-180,0.6666666666666666,0.05,21,36,50
2,1,-180,0.6666666666666666,0.05,21,18,50
3,1,-180,0.6666666666666666,0.05,21,17,50
4,1,-180,0.6666666666666666,0.05,21,22,50
5,1,-180,0.6666666666666666,0.05,21,28,50
6,1,-180,0.6666666666666666,0.05,21,24,50
2,0,-150,0.6666666666666666,0.05,21,19,50
3,0,-150,0.6666666666666666,0.05,21,22,50
4,0,-150,0.6666666666666666,0.05,21,15,50
5,0,-150,0.6666666666666666,0.05,21,28,50
6,0,-150,0.6666666666666666,0.05,21,31,50
2,0.25,-150,0.6666666666666666,0.05,21,15,50
3,0.25,-150,0.6666666666666666,0.05,21,23,50
4,0.25,-150,0.6666666666666666,0.05,21,21,50
5,0.25,-150,0.6666666666666666,0.05,21,25,50
6,0.25,-150,0.6666666666666666,0.05,21,25,50
2,0.5,-150,0.6666666666666666,0.05,21,12,50
3,0.5,-150,0.6666666666666666,0.05,21,28,50
4,0.5,-150,0.6666666666666666,0.05,21,30,50
5,0.5,-150,0.6666666666666666,0.05,21,23,50
6,0.5,-150,0.6666666666666666,0.05,21,28,50
2,0.75,-150,0.6666666666666666,0.05,21,11,50
3,0.75,-150,0.6666666666666666,0.05,21,23,50
4,0.75,-150,0.6666666666666666,0.05,21,29,50
5,0.75,-150,0.6666666666666666,0.05,21,31,50
6,0.75,-150,0.6666666666666666,0.05,21,27,50
2,1,-150,0.6666666666666666,0.05,21,13,50
3,1,-150,0.6666666666666666,0.05,21,18,50
4,1,-150,0.6666666666666666,0.05,21,27,50
5,1,-150,0.6666666666666666,0.05,21,27,50
6,1,-150,0.6666666666666666,0.05,21,26,50
2,0,-120,0.6666666666666666,0.05,21,11,50
3,0,-120,0.6666666666666666,0.05,21,15,50
4,0,-120,0.6666666666666666,0.05,21,23,50
5,0,-120,0.6666666666666666,0.05,21,29,50
6,0,-120,0.6666666666666666,0.05,21,32,50
2,0.25,-120,0.6666666666666666,0.05,21,13,50
3,0.25,-120,0.6666666666666666,0.05,21,16,50
4,0.25,-120,0.6666666666666666,0.05,21,25,50
5,0.25,-120,0.6666666666666666,0.05,21,31,50
6,0.25,-120,0.6666666666666666,0.05,21,31,50
2,0.5,-120,0.6666666666666666,0.05,21,11,50
3,0.5,-120,0.6666666666666666,0.05,21,22,50
4,0.5,-120,0.6666666666666666,0.05,21,23,50
5,0.5,-120,0.6666666666666666,0.05,21,31,50
6,0.5,-120,0.6666666666666666,0.05,21,31,50
2,0.75,-120,0.6666666666666666,0.05,21,13,50
3,0.75,-120,0.6666666666666666,0.05,21,25,50
4,0.75,-120,0.6666666666666666,0.05,21,30,50
5,0.75,-120,0.6666666666666666,0.05,21,30,50
6,0.75,-120,0.6666666666666666,0.05,21,27,50
2,1,-120,0.6666666666666666,0.05,21,12,50
3,1,-120,0.6666666666666666,0.05,21,19,50
4,1,-120,0.6666666666666666,0.05,21,24,50
5,1,-120,0.6666666666666666,0.05,21,34,50
6,1,-120,0.6666666666666666,0.05,21,31,50
2,0,-90,0.6666666666666666,0.05,21,16,50
3,0,-90,0.6666666666666666,0.05,21,21,50
4,0,-90,0.6666666666666666,0.05,21,24,50
5,0,-90,0.6666666666666666,0.05,21,33,50
