R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
5,1,-60,0.9583333333333333,1,31,4,333
6,1,-60,0.9583333333333333,1,31,16,333
2,0,-30,0.9583333333333333,0,31,66,333
3,0,-30,0.9583333333333333,0,31,112,333
4,0,-30,0.9583333333333333,0,31,152,333
5,0,-30,0.9583333333333333,0,31,187,333
6,0,-30,0.9583333333333333,0,31,207,333
2,0.25,-30,0.9583333333333333,0.25,31,41,333
3,0.25,-30,0.9583333333333333,0.25,31,100,333
4,0.25,-30,0.9583333333333333,0.25,31,146,333
5,0.25,-30,0.9583333333333333,0.25,31,176,333
6,0.25,-30,0.9583333333333333,0.25,31,203,333
2,0.5,-30,0.9583333333333333,0.5,31,14,333
3,0.5,-30,0.9583333333333333,0.5,31,50,333
4,0.5,-30,0.9583333333333333,0.5,31,90,333
5,0.5,-30,0.9583333333333333,0.5,31,131,333
6,0.5,-30,0.9583333333333333,0.5,31,153,333
2,0.75,-30,0.9583333333333333,0.75,31,0,333
3,0.75,-30,0.9583333333333333,0.75,31,15,333
4,0.75,-30,0.9583333333333333,0.75,31,44,333
5,0.75,-30,0.9583333333333333,0.75,31,70,333
6,0.75,-30,0.9583333333333333,0.75,31,87,333
2,1,-30,0.9583333333333333,1,31,0,333
3,1,-30,0.9583333333333333,1,31,0,333
4,1,-30,0.9583333333333333,1,31,0,333
5,1,-30,0.9583333333333333,1,31,3,333
6,1,-30,0.9583333333333333,1,31,5,333
2,0,0,0.9583333333333333,0,31,78,333
3,0,0,0.9583333333333333,0,31,137,333
4,0,0,0.9583333333333333,0,31,172,333
5,0,0,0.9583333333333333,0,31,183,333
6,0,0,0.9583333333333333,0,31,197,333
2,0.25,0,0.9583333333333333,0.25,31,54,333
3,0.25,0,0.9583333333333333,0.25,31,113,333
4,0.25,0,0.9583333333333333,0.25,31,126,333
5,0.25,0,0.9583333333333333,0.25,31,171,333
6,0.25,0,0.9583333333333333,0.25,31,177,333
2,0.5,0,0.9583333333333333,0.5,31,32,333
3,0.5,0,0.9583333333333333,0.5,31,66,333
4,0.5,0,0.9583333333333333,0.5,31,104,333
5,0.5,0,0.9583333333333333,0.5,31,139,333
6,0.5,0,0.9583333333333333,0.5,31,156,333
2,0.75,0,0.9583333333333333,0.75,31,1,333
3,0.75,0,0.9583333333333333,0.75,31,13,333
4,0.75,0,0.9583333333333333,0.75,31,43,333
5,0.75,0,0.9583333333333333,0.75,31,68,333
6,0.75,0,0.9583333333333333,0.75,31,96,333
2,1,0,0.9583333333333333,1,31,0,333
3,1,0,0.9583333333333333,1,31,0,333
4,1,0,0.9583333333333333,1,31,1,333
5,1,0,0.9583333333333333,1,31,3,333
6,1,0,0.9583333333333333,1,31,3,333
2,0,30,0.9583333333333333,0,31,76,333
3,0,30,0.9583333333333333,0,31,150,333
4,0,30,0.9583333333333333,0,31,173,333
5,0,30,0.9583333333333333,0,31,184,333
6,0,30,0.9583333333333333,0,31,204,333
2,0.25,30,0.9583333333333333,0.25,31,42,333
3,0.25,30,0.9583333333333333,0.25,31,98,333
4,0.25,30,0.9583333333333333,0.25,31,131,333
5,0.25,30,0.9583333333333333,0.25,31,155,333
6,0.25,30,0.9583333333333333,0.25,31,189,333
2,0.5,30,0.9583333333333333,0.5,31,16,333
3,0.5,30,0.9583333333333333,0.5,31,59,333
4,0.5,30,0.9583333333333333,0.5,31,109,333
5,0.5,30,0.9583333333333333,0.5,31,137,333
6,0.5,30,0.9583333333333333,0.5,31,171,333
2,0.75,30,0.9583333333333333,0.75,31,1,333
3,0.75,30,0.9583333333333333,0.75,31,24,333
4,0.75,30,0.9583333333333333,0.75,31,54,333
5,0.75,30,0.9583333333333333,0.75,31,85,333
6,0.75,30,0.9583333333333333,0.75,31,115,333
2,1,30,0.9583333333333333,1,31,0,333
3,1,30,0.9583333333333333,1,31,0,333
4,1,30,0.9583333333333333,1,31,0,333
5,1,30,0.9583333333333333,1,31,1,333
6,1,30,0.9583333333333333,1,31,10,333
2,0,60,0.9583333333333333,0,31,79,333
3,0,60,0.9583333333333333,0,31,135,333
4,0,60,0.9583333333333333,0,31,151,333
5,0,60,0.9583333333333333,0,31,184,333
6,0,60,0.9583333333333333,0,31,196,333
2,0.25,60,0.9583333333333333,0.25,31,42,333
3,0.25,60,0.9583333333333333,0.25,31,115,333
4,0.25,60,0.9583333333333333,0.25,31,122,333
5,0.25,60,0.9583333333333333,0.25,31,176,333
6,0.25,60,0.9583333333333333,0.25,31,196,333
2,0.5,60,0.9583333333333333,0.5,31,19,333
3,0.5,60,0.9583333333333333,0.5,31,70,333
4,0.5,60,0.9583333333333333,0.5,31,123,333
5,0.5,60,0.9583333333333333,0.5,31,149,333
6,0.5,60,0.9583333333333333,0.5,31,181,333
2,0.75,60,0.9583333333333333,0.75,31,1,333
3,0.75,60,0.9583333333333333,0.75,31,28,333
4,0.75,60,0.9583333333333333,0.75,31,55,333
5,0.75,60,0.9583333333333333,0.75,31,87,333
6,0.75,60,0.9583333333333333,0.75,31,139,333
2,1,60,0.9583333333333333,1,31,0,333
3,1,60,0.9583333333333333,1,31,0,333
4,1,60,0.9583333333333333,1,31,0,333
5,1,60,0.9583333333333333,1,31,3,333
6,1,60,0.9583333333333333,1,31,14,333
2,0,90,0.9583333333333333,0,31,65,333
3,0,90,0.9583333333333333,0,31,114,333
4,0,90,0.9583333333333333,0,31,156,333
5,0,90,0.9583333333333333,0,31,185,333
6,0,90,0.9583333333333333,0,31,196,333
2,0.25,90,0.9583333333333333,0.25,31,53,333
3,0.25,90,0.9583333333333333,0.25,31,109,333
4,0.25,90,0.9583333333333333,0.25,31,147,333
5,0.25,90,0.9583333333333333,0.25,31,154,333
6,0.25,90,0.9583333333333333,0.25,31,186,333
2,0.5,90,0.9583333333333333,0.5,31,17,333
3,0.5,90,0.9583333333333333,0.5,31,74,333
4,0.5,90,0.9583333333333333,0.5,31,108,333
5,0.5,90,0.9583333333333333,0.5,31,139,333
6,0.5,90,0.9583333333333333,0.5,31,171,333
2,0.75,90,0.9583333333333333,0.75,31,0,333
3,0.75,90,0.9583333333333333,0.75,31,33,333
4,0.75,90,0.9583333333333333,0.75,31,57,333
5,0.75,90,0.9583333333333333,0.75,31,109,333
6,0.75,90,0.9583333333333333,0.75,31,123,333
2,1,90,0.9583333333333333,1,31,0,333
3,1,90,0.9583333333333333,1,31,0,333
4,1,90,0.9583333333333333,1,31,1,333
5,1,90,0.9583333333333333,1,31,5,333
6,1,90,0.9583333333333333,1,31,32,333
2,0,120,0.9583333333333333,0,31,76,333
3,0,120,0.9583333333333333,0,31,130,333
4,0,120,0.9583333333333333,0,31,169,333
5,0,120,0.9583333333333333,0,31,185,333
6,0,120,0.9583333333333333,0,31,197,333
2,0.25,120,0.9583333333333333,0.25,31,40,333
3,0.25,120,0.9583333333333333,0.25,31,116,333
4,0.25,120,0.9583333333333333,0.25,31,146,333
5,0.25,120,0.9583333333333333,0.25,31,162,333
6,0.25,120,0.9583333333333333,0.25,31,201,333
