R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
4,0.25,-120,0.125,0.25,5,143,333
5,0.25,-120,0.125,0.25,5,151,333
6,0.25,-120,0.125,0.25,5,190,333
2,0.5,-120,0.125,0.5,5,25,333
3,0.5,-120,0.125,0.5,5,62,333
4,0.5,-120,0.125,0.5,5,99,333
5,0.5,-120,0.125,0.5,5,142,333
6,0.5,-120,0.125,0.5,5,154,333
2,0.75,-120,0.125,0.75,5,0,333
3,0.75,-120,0.125,0.75,5,31,333
4,0.75,-120,0.125,0.75,5,66,333
5,0.75,-120,0.125,0.75,5,100,333
6,0.75,-120,0.125,0.75,5,144,333
2,1,-120,0.125,1,5,0,333
3,1,-120,0.125,1,5,1,333
4,1,-120,0.125,1,5,2,333
5,1,-120,0.125,1,5,31,333
6,1,-120,0.125,1,5,61,333
2,0,-90,0.125,0,5,68,333
3,0,-90,0.125,0,5,125,333
4,0,-90,0.125,0,5,169,333
5,0,-90,0.125,0,5,176,333
6,0,-90,0.125,0,5,207,333
2,0.25,-90,0.125,0.25,5,41,333
3,0.25,-90,0.125,0.25,5,96,333
4,0.25,-90,0.125,0.25,5,156,333
5,0.25,-90,0.125,0.25,5,170,333
6,0.25,-90,0.125,0.25,5,175,333
2,0.5,-90,0.125,0.5,5,15,333
3,0.5,-90,0.125,0.5,5,60,333
4,0.5,-90,0.125,0.5,5,122,333
5,0.5,-90,0.125,0.5,5,141,333
6,0.5,-90,0.125,0.5,5,153,333
2,0.75,-90,0.125,0.75,5,3,333
3,0.75,-90,0.125,0.75,5,31,333
4,0.75,-90,0.125,0.75,5,72,333
5,0.75,-90,0.125,0.75,5,102,333
6,0.75,-90,0.125,0.75,5,140,333
2,1,-90,0.125,1,5,0,333
3,1,-90,0.125,1,5,0,333
4,1,-90,0.125,1,5,3,333
5,1,-90,0.125,1,5,19,333
6,1,-90,0.125,1,5,61,333
2,0,-60,0.125,0,5,59,333
3,0,-60,0.125,0,5,117,333
4,0,-60,0.125,0,5,179,333
5,0,-60,0.125,0,5,175,333
6,0,-60,0.125,0,5,205,333
2,0.25,-60,0.125,0.25,5,43,333
3,0.25,-60,0.125,0.25,5,94,333
4,0.25,-60,0.125,0.25,5,152,333
5,0.25,-60,0.125,0.25,5,175,333
6,0.25,-60,0.125,0.25,5,177,333
2,0.5,-60,0.125,0.5,5,17,333
3,0.5,-60,0.125,0.5,5,74,333
4,0.5,-60,0.125,0.5,5,112,333
5,0.5,-60,0.125,0.5,5,135,333
6,0.5,-60,0.125,0.5,5,167,333
2,0.75,-60,0.125,0.75,5,1,333
3,0.75,-60,0.125,0.75,5,29,333
4,0.75,-60,0.125,0.75,5,70,333
5,0.75,-60,0.125,0.75,5,108,333
6,0.75,-60,0.125,0.75,5,138,333
2,1,-60,0.125,1,5,0,333
3,1,-60,0.125,1,5,0,333
4,1,-60,0.125,1,5,5,333
5,1,-60,0.125,1,5,29,333
6,1,-60,0.125,1,5,53,333
2,0,-30,0.125,0,5,89,333
3,0,-30,0.125,0,5,138,333
4,0,-30,0.125,0,5,158,333
5,0,-30,0.125,0,5,194,333
6,0,-30,0.125,0,5,194,333
2,0.25,-30,0.125,0.25,5,52,333
3,0.25,-30,0.125,0.25,5,106,333
4,0.25,-30,0.125,0.25,5,150,333
5,0.25,-30,0.125,0.25,5,164,333
6,0.25,-30,0.125,0.25,5,182,333
2,0.5,-30,0.125,0.5,5,27,333
3,0.5,-30,0.125,0.5,5,75,333
4,0.5,-30,0.125,0.5,5,124,333
5,0.5,-30,0.125,0.5,5,150,333
6,0.5,-30,0.125,0.5,5,175,333
2,0.75,-30,0.125,0.75,5,1,333
3,0.75,-30,0.125,0.75,5,24,333
4,0.75,-30,0.125,0.75,5,68,333
5,0.75,-30,0.125,0.75,5,107,333
6,0.75,-30,0.125,0.75,5,127,333
2,1,-30,0.125,1,5,0,333
3,1,-30,0.125,1,5,0,333
4,1,-30,0.125,1,5,1,333
5,1,-30,0.125,1,5,31,333
6,1,-30,0.125,1,5,52,333
2,0,0,0.125,0,5,77,333
3,0,0,0.125,0,5,143,333
4,0,0,0.125,0,5,161,333
5,0,0,0.125,0,5,188,333
6,0,0,0.125,0,5,205,333
2,0.25,0,0.125,0.25,5,54,333
3,0.25,0,0.125,0.25,5,108,333
4,0.25,0,0.125,0.25,5,155,333
5,0.25,0,0.125,0.25,5,177,333
6,0.25,0,0.125,0.25,5,188,333
2,0.5,0,0.125,0.5,5,28,333
3,0.5,0,0.125,0.5,5,58,333
4,0.5,0,0.125,0.5,5,106,333
5,0.5,0,0.125,0.5,5,138,333
6,0.5,0,0.125,0.5,5,167,333
2,0.75,0,0.125,0.75,5,0,333
3,0.75,0,0.125,0.75,5,17,333
4,0.75,0,0.125,0.75,5,70,333
5,0.75,0,0.125,0.75,5,85,333
6,0.75,0,0.125,0.75,5,119,333
2,1,0,0.125,1,5,0,333
3,1,0,0.125,1,5,0,333
4,1,0,0.125,1,5,8,333
5,1,0,0.125,1,5,29,333
6,1,0,0.125,1,5,60,333
2,0,30,0.125,0,5,70,333
3,0,30,0.125,0,5,146,333
4,0,30,0.125,0,5,165,333
5,0,30,0.125,0,5,187,333
6,0,30,0.125,0,5,207,333
2,0.25,30,0.125,0.25,5,41,333
3,0.25,30,0.125,0.25,5,85,333
4,0.25,30,0.125,0.25,5,137,333
5,0.25,30,0.125,0.25,5,158,333
6,0.25,30,0.125,0.25,5,196,333
2,0.5,30,0.125,0.5,5,14,333
3,0.5,30,0.125,0.5,5,80,333
4,0.5,30,0.125,0.5,5,116,333
5,0.5,30,0.125,0.5,5,155,333
6,0.5,30,0.125,0.5,5,140,333
2,0.75,30,0.125,0.75,5,0,333
3,0.75,30,0.125,0.75,5,29,333
4,0.75,30,0.125,0.75,5,56,333
5,0.75,30,0.125,0.75,5,105,333
6,0.75,30,0.125,0.75,5,120,333
2,1,30,0.125,1,5,0,333
3,1,30,0.125,1,5,0,333
4,1,30,0.125,1,5,7,333
5,1,30,0.125,1,5,22,333
6,1,30,0.125,1,5,45,333
2,0,60,0.125,0,5,69,333
3,0,60,0.125,0,5,120,333
4,0,60,0.125,0,5,157,333
5,0,60,0.125,0,5,184,333
6,0,60,0.125,0,5,190,333
2,0.25,60,0.125,0.25,5,42,333
3,0.25,60,0.125,0.25,5,94,333
4,0.25,60,0.125,0.25,5,152,333
5,0.25,60,0.125,0.25,5,164,333
6,0.25,60,0.125,0.25,5,187,333
2,0.5,60,0.125,0.5,5,16,333
3,0.5,60,0.125,0.5,5,82,333
4,0.5,60,0.125,0.5,5,131,333
5,0.5,60,0.125,0.5,5,146,333
6,0.5,60,0.125,0.5,5,159,333
2,0.75,60,0.125,0.75,5,1,333
3,0.75,60,0.125,0.75,5,21,333
4,0.75,60,0.125,0.75,5,86,333
5,0.75,60,0.125,0.75,5,105,333
6,0.75,60,0.125,0.75,5,134,333
2,1,60,0.125,1,5,0,333
3,1,60,0.125,1,5,0,333
4,1,60,0.125,1,5,3,333
5,1,60,0.125,1,5,26,333
6,1,60,0.125,1,5,63,333
2,0,90,0.125,0,5,70,333
3,0,90,0.125,0,5,137,333
4,0,90,0.125,0,5,165,333
5,0,90,0.125,0,5,183,333
6,0,90,0.125,0,5,197,333
2,0.25,90,0.125,0.25,5,41,333
3,0.25,90,0.125,0.25,5,97,333
4,0.25,90,0.125,0.25,5,140,333
5,0.25,90,0.125,0.25,5,169,333
6,0.25,90,0.125,0.25,5,186,333
2,0.5,90,0.125,0.5,5,23,333
3,0.5,90,0.125,0.5,5,85,333
4,0.5,90,0.125,0.5,5,112,333
5,0.5,90,0.125,0.5,5,140,333
6,0.5,90,0.125,0.5,5,153,333
2,0.75,90,0.125,0.75,5,0,333
3,0.75,90,0.125,0.75,5,40,333
4,0.75,90,0.125,0.75,5,75,333
5,0.75,90,0.125,0.75,5,101,333
6,0.75,90,0.125,0.75,5,138,333
2,1,90,0.125,1,5,0,333
3,1,90,0.125,1,5,0,333
4,1,90,0.125,1,5,8,333
5,1,90,0.125,1,5,32,333
6,1,90,0.125,1,5,55,333
2,0,120,0.125,0,5,78,333
