R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
4,0.75,300,0.125,0.75,6,62,334
5,0.75,300,0.125,0.75,6,107,334
6,0.75,300,0.125,0.75,6,139,334
2,1,300,0.125,1,6,0,334
3,1,300,0.125,1,6,0,334
4,1,300,0.125,1,6,8,334
5,1,300,0.125,1,6,30,334
6,1,300,0.125,1,6,51,334
2,0,330,0.125,0,6,71,334
3,0,330,0.125,0,6,122,334
4,0,330,0.125,0,6,168,334
5,0,330,0.125,0,6,188,334
6,0,330,0.125,0,6,204,334
2,0.25,330,0.125,0.25,6,49,334
3,0.25,330,0.125,0.25,6,113,334
4,0.25,330,0.125,0.25,6,151,334
5,0.25,330,0.125,0.25,6,177,334
6,0.25,330,0.125,0.25,6,201,334
2,0.5,330,0.125,0.5,6,21,334
3,0.5,330,0.125,0.5,6,75,334
4,0.5,330,0.125,0.5,6,122,334
5,0.5,330,0.125,0.5,6,153,334
6,0.5,330,0.125,0.5,6,154,334
2,0.75,330,0.125,0.75,6,0,334
3,0.75,330,0.125,0.75,6,31,334
4,0.75,330,0.125,0.75,6,63,334
5,0.75,330,0.125,0.75,6,106,334
6,0.75,330,0.125,0.75,6,131,334
2,1,330,0.125,1,6,0,334
3,1,330,0.125,1,6,0,334
4,1,330,0.125,1,6,4,334
5,1,330,0.125,1,6,37,334
6,1,330,0.125,1,6,63,334
2,0,360,0.125,0,6,61,334
3,0,360,0.125,0,6,143,334
4,0,360,0.125,0,6,155,334
5,0,360,0.125,0,6,183,334
6,0,360,0.125,0,6,204,334
2,0.25,360,0.125,0.25,6,37,334
3,0.25,360,0.125,0.25,6,91,334
4,0.25,360,0.125,0.25,6,135,334
5,0.25,360,0.125,0.25,6,163,334
6,0.25,360,0.125,0.25,6,181,334
2,0.5,360,0.125,0.5,6,16,334
3,0.5,360,0.125,0.5,6,68,334
4,0.5,360,0.125,0.5,6,102,334
5,0.5,360,0.125,0.5,6,152,334
6,0.5,360,0.125,0.5,6,160,334
2,0.75,360,0.125,0.75,6,3,334
3,0.75,360,0.125,0.75,6,35,334
4,0.75,360,0.125,0.75,6,77,334
5,0.75,360,0.125,0.75,6,117,334
6,0.75,360,0.125,0.75,6,142,334
2,1,360,0.125,1,6,0,334
3,1,360,0.125,1,6,0,334
4,1,360,0.125,1,6,8,334
5,1,360,0.125,1,6,35,334
6,1,360,0.125,1,6,66,334
2,0,-360,0.16666666666666666,0,6,71,334
3,0,-360,0.16666666666666666,0,6,118,334
4,0,-360,0.16666666666666666,0,6,149,334
5,0,-360,0.16666666666666666,0,6,180,334
6,0,-360,0.16666666666666666,0,6,221,334
2,0.25,-360,0.16666666666666666,0.25,6,60,334
3,0.25,-360,0.16666666666666666,0.25,6,100,334
4,0.25,-360,0.16666666666666666,0.25,6,153,334
5,0.25,-360,0.16666666666666666,0.25,6,166,334
6,0.25,-360,0.16666666666666666,0.25,6,175,334
2,0.5,-360,0.16666666666666666,0.5,6,23,334
3,0.5,-360,0.16666666666666666,0.5,6,78,334
4,0.5,-360,0.16666666666666666,0.5,6,111,334
5,0.5,-360,0.16666666666666666,0.5,6,157,334
6,0.5,-360,0.16666666666666666,0.5,6,174,334
2,0.75,-360,0.16666666666666666,0.75,6,1,334
3,0.75,-360,0.16666666666666666,0.75,6,36,334
4,0.75,-360,0.16666666666666666,0.75,6,84,334
5,0.75,-360,0.16666666666666666,0.75,6,100,334
6,0.75,-360,0.16666666666666666,0.75,6,146,334
2,1,-360,0.16666666666666666,1,6,0,334
3,1,-360,0.16666666666666666,1,6,0,334
4,1,-360,0.16666666666666666,1,6,9,334
5,1,-360,0.16666666666666666,1,6,37,334
6,1,-360,0.16666666666666666,1,6,61,334
2,0,-330,0.16666666666666666,0,6,65,334
3,0,-330,0.16666666666666666,0,6,132,334
4,0,-330,0.16666666666666666,0,6,162,334
5,0,-330,0.16666666666666666,0,6,193,334
6,0,-330,0.16666666666666666,0,6,211,334
2,0.25,-330,0.16666666666666666,0.25,6,40,334
3,0.25,-330,0.16666666666666666,0.25,6,123,334
4,0.25,-330,0.16666666666666666,0.25,6,143,334
5,0.25,-330,0.16666666666666666,0.25,6,173,334
6,0.25,-330,0.16666666666666666,0.25,6,182,334
2,0.5,-330,0.16666666666666666,0.5,6,19,334
3,0.5,-330,0.16666666666666666,0.5,6,69,334
4,0.5,-330,0.16666666666666666,0.5,6,119,334
5,0.5,-330,0.16666666666666666,0.5,6,149,334
